tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,Audiogram_frequency,Audiogram_time,Audiogram_none,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.11363369994797,None,353.5533905932738,2.0,0.0001115563142959358,1,"[0.5884030600955709, 0.5884030600955709, 0.5884030600955709, 0.5884030600955709]","[484.3342782697968, 374.05042537240513, 580.0422774948004, 2750.686087995021]",None,"[7.685628092737151, 7.572849574758852, 8.769302855033663, 7.437925777140254]",False,283.1504692998715,285.94712159992196,285.94712159992196,287.161472100066,['space'],1,[0.07255739998072386],3.360498189460486,4.379626189591363,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,18,0,18,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.57676009996794,None,189.4645708137998,2.0,0.0003824766710234111,1,"[0.4217895389155723, 0.40976147158054294, 0.7282291798970509, 0.40237708126871435]","[300.7562590205293, 267.9433656340734, 238.71040097760422, 212.666790237714]",Tone,"[7.618500119928713, 7.654204264418274, 8.0, 9.0]",False,288.59461709996685,291.17685739998706,291.17685739998706,292.4054952999577,['space'],1,[0.2666864001657814],2.997401689644903,4.00586868962273,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.6399928999599,None,,,,,"[0.6637705614309801, 0.6245919693921487, 0.5571287440478014, 0.5837847187281744]","[319.32907277248074, 402.32942062946023, 506.9033060430655, 638.6581455449613]",Major_3rd,"[7.660359555198436, 7.4560788134613265, 7.685628092737151, 9.985472887324471]",True,293.6491680999752,296.52368370001204,296.52368370001204,297.73915329994634,['space'],0,[0.2827371000312269],3.4647408896125853,4.500060189515352,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.16285279998556,None,1094.2058551303048,2.370891759669666,6.305517118696541e-05,0,"[0.7249677124693688, 0.7249677124693688, 0.7249677124693688, 0.7249677124693688]","[5514.451959187565, 3680.455124514795, 2456.4090908433423, 1639.4563763016367]",Perfect_5th,"[18.0, 7.0, 8.769482273595965, 9.485507020788583]",False,313.1748386998661,316.3790619999636,316.3790619999636,317.6074522000272,None,0,,3.944570889696479,4.967773189768195,None,1,['space'],0,[0.4880868000909686],,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,1,0,1,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.17636330006644,None,5927.0036859981365,14.0,0.0005942154436223406,1,"[0.6350137756970052, 0.5092370458320797, 0.4762995805682784, 0.5614197822574141]","[2352.13297154321, 2963.5018429990687, 3733.7783533967777, 4704.265943086419]",Major_3rd,"[9.0, 7.0, 7.076096516753575, 12.0]",False,319.17466699983925,321.8133717998862,321.8133717998862,323.022874499904,['space'],1,[0.33426770009100437],3.210110989632085,4.211501089623198,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.4223384000361,None,2759.261109815047,1.4379257771402547,8.23480064122452e-05,0,"[0.5469409410796574, 0.5469409410796574, 0.5469409410796574, 0.5469409410796574]","[5817.70551138938, 2170.852729772741, 1591.207198558182, 1111.6043412380743]",None,"[19.0, 9.71510733464561, 9.485507020788583, 8.212626858769866]",False,324.4302449999377,327.1061315999832,327.1061315999832,328.30909450002946,None,0,,3.214139089686796,4.241481989622116,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.7032029000111,None,,,,,"[0.4030917280418109, 0.5133636390891506, 0.5619244968261609, 0.4277688570667515]","[1082.6415712469282, 1622.1295279201624, 2430.44815129341, 3641.5576650647636]",Perfect_5th,"[8.370891759669666, 9.485507020788583, 8.769482273595965, 7.0]",True,329.7026038998738,332.21820580004714,332.21820580004714,333.4471302998718,['space'],0,[0.5711737999226898],2.955342889530584,3.9688013896811754,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.6975108999759,None,574.3491774985172,0.0,5.984619860562044e-05,1,"[0.5778017273776135, 0.7186967160838149, 0.47098053191528866, 0.4157563081670484]","[911.7224885582166, 812.2523963562353, 723.6346187201888, 644.6851542197893]",Tone,"[9.204935392988055, 10.154520051482688, 10.327016674808721, 9.985472887324471]",False,334.71105689997785,337.5152221999597,337.5152221999597,338.73745259991847,['space'],1,[0.3671232000924647],3.2145704897120595,4.25715528964065,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.00894790003076,None,718.3045929686989,4.32701667480872,7.145793646457329e-05,1,"[0.45081868392280067, 0.6787662603569901, 0.7614692366162332, 0.4469820527494184]","[452.50353845871615, 507.9180486456097, 570.1187332560509, 639.936641110132]",Tone,"[7.433177645562939, 7.685628092737151, 8.769302855033663, 9.985472887324471]",False,340.0061945999041,342.9228153999429,342.9228153999429,344.12867189990357,['space'],1,[0.42429549992084503],3.387447989778593,4.39471198967658,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.4400056998711,None,203.0630990890589,2.0,0.00032661690408859664,0,"[0.7661375083684401, 0.7661375083684401, 0.7661375083684401, 0.7661375083684401]","[3965.347625967305, 4536.027168091559, 190.96796096898674, 233.2048561480506]",None,"[8.0, 11.0, 9.645744284578136, 8.23933879716737]",False,345.46371140005067,348.79112880001776,348.79112880001776,349.99737529992126,None,0,,4.0992314897011966,5.113280489575118,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,7,0,7,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.6238702000119,None,,,,,"[0.48952388939273905, 0.6726737083948906, 0.5385726244845438, 0.489311845428817]","[328.9981497409516, 414.5116942350904, 522.2520089943777, 657.9962994819031]",Major_3rd,"[7.660359555198436, 7.4560788134613265, 8.0, 9.985472887324471]",True,351.6370575998444,354.3673425000161,354.3673425000161,355.5848929998465,['space'],0,[0.41891789995133877],3.219161989632994,4.221626689657569,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.8877975998912,None,615.5722066724584,1.0,5.99330541482996e-05,1,"[0.4832380257898765, 0.6026613411833814, 0.6673473830836218, 0.7198830158494577]","[299.8637125662171, 3802.0541431353927, 3225.3715652341007, 242.6027044354653]",None,"[7.618500119928713, 7.076096516753575, 6.547565865480125, 8.0]",False,356.91834850003943,359.7054502000101,359.7054502000101,360.9385863998905,['space'],1,[0.07708359998650849],3.4946883898228407,4.506363789783791,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.46723269997165,None,5548.373790063635,12.0,0.0005275877320814296,1,"[0.7713716153954412, 0.758690547338294, 0.5658504081293865, 0.6580228330931074]","[207.06680465179622, 764.096092885748, 846.8666042229389, 628.5258573982737]",None,"[9.0, 10.380278878836705, 10.0, 9.42921453756885]",False,362.45954259997234,365.5884581999853,365.5884581999853,366.81167660001665,['space'],1,[0.28581320005469024],3.7936270895879716,4.8264790896791965,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.32415549992584,None,1319.5079107728945,-3.0,3.7367906570294796e-05,1,"[0.5304716029243086, 0.7396151137098504, 0.6220072154121972, 0.5131563912526109]","[6725.436767907134, 2358.3043641383583, 4511.902461355045, 6660.148015813694]",None,"[22.0, 9.0, 11.0, 22.0]",False,369.0393803999759,371.9698913998436,371.9698913998436,373.17005710001104,['space'],1,[0.4326804999727756],3.4430501395836473,4.453626939561218,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.5273954998702,None,,,,,"[0.6848409540014715, 0.6848409540014715, 0.6848409540014715, 0.6848409540014715]","[240.4300133359402, 214.1987906834538, 190.82942804709984, 170.00969283061536]",Tone,"[8.0, 8.716273812593965, 9.645744284578136, 9.96367654631023]",True,374.537741899956,377.6299363998696,377.6299363998696,378.8478134998586,['space'],0,[0.319272099994123],3.794020789908245,4.819284789729863,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.38306539994664,None,2828.42712474619,0.0,6.548596627134577e-05,1,"[0.7491283282678589, 0.5298437867651147, 0.5748843328650266, 0.7629194656412993]","[4489.848193237493, 4000.000000000001, 3563.594872561358, 3174.8021039363994]",Tone,"[11.0, 8.074548775468193, 6.582063189614965, 6.547565865480125]",False,380.40011979988776,383.2945119999349,383.2945119999349,384.5074263999704,['space'],1,[0.06592379999347031],3.6263837898150086,4.654931289609522,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.10252349986695,None,1339.665177524942,2.456175848159125,6.936979152878684e-05,1,"[0.6487529954093281, 0.4246124213180766, 0.40518771023694233, 0.5735925254008848]","[2126.5859120882583, 1894.5726630947333, 1687.8723569748267, 1503.7233192133863]",Tone,"[9.71510733464561, 9.918086234917741, 9.761269433733453, 9.13803236350089]",False,386.0992725000251,388.5965935999993,388.5965935999993,389.80345580005087,['space'],1,[0.2935369999613613],3.105196689721197,4.127402889775112,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.26168420002796,None,426.18058037356536,1.3791784015213704,8.816024617798256e-05,1,"[0.6382270308559193, 0.7101370962323199, 0.551115745468403, 0.5789347740309735]","[153.189780855843, 4752.457228567635, 368.3118152388312, 472.9074467455537]",None,"[9.822047904124807, 13.0, 7.572849574758852, 7.433177645562939]",False,391.283926300006,394.21409019990824,394.21409019990824,395.4299913998693,['space'],1,[0.3242562001105398],3.5101523897610605,4.536558489548042,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.85672040004283,None,203.0630990890589,-3.0,0.00018367018267475058,1,"[0.4139922506875053, 0.6906676388602058, 0.6820003988640752, 0.7054977531286468]","[6547.480003481784, 3037.4753440936374, 5621.657118549245, 180.8450776080428]",None,"[22.0, 6.872527731548502, 18.0, 9.907445772281816]",False,397.7434986999724,400.5567968999967,400.5567968999967,401.77960260002874,['space'],1,[0.4910039999522269],3.544818009249866,4.574304809328169,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.34845059993677,None,,,,,"[0.7048068549374563, 0.7048068549374563, 0.7048068549374563, 0.7048068549374563]","[334.24829070645353, 297.78137373097894, 265.29304414299844, 236.34923295854574]",Tone,"[7.660359555198436, 7.618500119928713, 7.654204264418274, 8.23933879716737]",True,403.36772449989803,406.5033189000096,406.5033189000096,407.71136169997044,None,1,,3.863845889689401,4.877669689711183,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.27640979993157,None,3222.419393202426,0.5475658654801253,7.486429600925592e-05,1,"[0.7276888369923015, 0.7506375792936015, 0.5014944238194782, 0.6707249942787126]","[3522.797342088823, 7772.835489417345, 984.801642541728, 276.01408741901696]",None,"[6.582063189614965, 23.0, 8.717211985379095, 7.654204264418274]",False,409.27299229986966,412.29050859995186,412.29050859995186,413.5257900999859,['space'],1,[0.42867429996840656],3.7000224897637963,4.7022911896929145,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,18,0,18,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.0113683999516,None,189.4645708137998,4.0,0.0004815096005698101,1,"[0.42169947433132615, 0.42169947433132615, 0.42169947433132615, 0.42169947433132615]","[477.4208019552084, 378.9291416275996, 300.7562590205292, 238.7104009776042]",Major_3rd,"[7.433177645562939, 7.572849574758852, 7.618500119928713, 8.0]",False,415.03945249994285,417.31753779994324,417.31753779994324,418.53291269997135,['space'],1,[0.23052830016240478],2.7196417895611376,3.736364789539948,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,1,0,1,0,19,0,19,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.82130889990367,None,193.4923725598244,3.645744284578136,0.0004399463101547886,1,"[0.5274473563653624, 0.5274473563653624, 0.5274473563653624, 0.5274473563653624]","[487.5702263644479, 386.98474511964884, 307.14999574928805, 243.7851131822239]",Major_3rd,"[7.685628092737151, 7.572849574758852, 7.618500119928713, 8.0]",False,419.81258550006896,422.4335264998954,422.4335264998954,423.6440180998761,['space'],1,[0.2638147999532521],3.1585823895875365,4.16866878955625,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,2,0,2,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.43874050001614,None,870.5505632961246,-5.0,2.270354786719523e-05,1,"[0.6551019961116586, 0.7370152285794451, 0.5151784973996684, 0.5802430229535475]","[1143.471443241365, 1556.4068887912495, 1913.426592833618, 7088.551845597201]",None,"[8.212626858769866, 9.13803236350089, 9.918086234917741, 22.802176100514853]",False,427.42355969990604,430.3751983998809,430.3751983998809,431.61028139991686,['space'],1,[0.5428073001094162],3.500608889851719,4.514044689713046,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,2,0,2,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.9933788999915,None,,,,,"[0.5807912317111342, 0.5807912317111342, 0.5807912317111342, 0.5807912317111342]","[135.80978042210558, 203.484755115509, 304.88264862608565, 456.80783005337076]",Perfect_5th,"[9.20953567365234, 9.223996358287932, 7.618500119928713, 7.433177645562939]",True,432.99560999986716,435.758989199996,435.758989199996,436.9806947999168,['space'],0,[0.42295939987525344],3.3612974898424,4.393329689977691,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,2,0,2,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.42392039997503,None,4537.540095924202,5.0,0.00021504040562936636,1,"[0.6791810898308137, 0.6791810898308137, 0.6791810898308137, 0.6791810898308137]","[412.94316090582856, 1085.8080684014724, 1648.6122291459874, 222.87192605594004]",None,"[7.4560788134613265, 8.370891759669666, 9.485507020788583, 8.716273812593965]",False,438.4182793998625,441.4738274998963,441.4738274998963,442.6871412000619,['space'],1,[0.36742780008353293],3.7462141897995025,4.773129389621317,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,2,0,2,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.22620579996146,None,287.17458874925893,-3.0,9.068759088766197e-05,0,"[0.44087084542725735, 0.6456434341974071, 0.48136700588950476, 0.4373723316060254]","[1447.2692374403791, 965.9363289248462, 644.68515421979, 430.2757186221653]",Perfect_5th,"[9.0, 9.0, 9.985472887324471, 7.37917840152137]",False,444.23655829997733,446.82628499995917,446.82628499995917,448.05887349997647,None,0,,3.0183314895257354,4.03105638967827,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,2,0,2,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.3106537000276,None,2639.015821545789,1.0,8.668328211348657e-05,1,"[0.7537095860208589, 0.7537095860208589, 0.7537095860208589, 0.7537095860208589]","[523.6470614103135, 784.584097896751, 1175.547906283609, 1761.3317471922974]",Perfect_5th,"[8.0, 10.380278878836705, 8.212626858769866, 9.761269433733453]",False,449.32709429995157,452.62278179987334,452.62278179987334,453.8320790999569,['space'],1,[0.1175883999094367],4.032830189680681,5.048067589523271,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,2,0,2,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.4157733998727,None,,,,,"[0.6673940044717726, 0.7543648645359415, 0.5069068851217844, 0.7277919889797654]","[230.65130734423263, 345.58648608472225, 517.7946777736842, 775.8154300773919]",Perfect_5th,"[8.23933879716737, 7.652219733616056, 8.0, 10.380278878836705]",True,455.419716599863,458.36222320003435,458.36222320003435,459.57030249992386,None,1,,3.6922246899921447,4.717736889841035,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
