tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.629480899981,None,1037.6690663847721,-0.709704845137636,4.204811183079424e-05,1,"[0.6751146724329742, 0.5225347346219474, 0.7689081310264291, 0.6388623939440481]","[5129.3541423242195, 4382.393270711156, 4157.325062705221, 3841.7054924564736]",None,"[-4.622411110452054, -2.0, -1.0, 0.0]",False,264.6352172999759,267.64185769998585,267.64185769998585,268.8537836999749,['space'],1,[0.44223900002543814],3.621540800028015,4.646583600027952,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.3273138999939,None,296.34050492927355,1.0,0.0001328348370973675,1,"[0.5443609562200322, 0.634270706533499, 0.6446033457419779, 0.4628842985821089]","[186.68282004843357, 209.54438057573483, 235.2056146327581, 264.0093759745507]",Tone,"[5.7788409976936865, 5.416622651675733, 5.223862564447552, 6.0]",False,270.33492259998457,273.18674879998434,273.18674879998434,274.40204429998994,['space'],1,[0.5344446999952197],3.3258746000065003,4.356704900012119,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.374141999986,None,2297.3967099940687,-2.0,6.466169967930508e-05,1,"[0.4196034878705559, 0.4621201898270286, 0.4132649538125935, 0.6118863639154359]","[911.7224885582166, 1148.6983549970346, 1447.2692374403775, 1823.4449771164327]",Major_3rd,"[4.0, 5.2053088615713285, 4.0, 4.0]",False,283.35817849999876,285.6746934999828,285.6746934999828,286.9062067999912,['space'],1,[0.48651780001819134],2.9524488000024576,3.9609001000062563,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.3525406999979,None,,,,,"[0.5364054256702528, 0.5364054256702528, 0.5364054256702528, 0.5364054256702528]","[3690.485642790393, 2463.103658619467, 1643.9244642386436, 1097.1879460554314]",Perfect_5th,"[1.0, 5.301282829788761, 3.647019961438937, 5.290295154862364]",True,288.3640516999876,291.0139013000007,291.0139013000007,292.21635789997526,None,1,,3.177662900008727,4.202717600011965,None,1,None,1,0,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.60460109999985,None,7317.7469737771,-8.0,6.403884788946015e-05,1,"[0.5889267343973017, 0.5889267343973017, 0.5889267343973017, 0.5889267343973017]","[686.6438009318575, 1958.0483307980235, 3138.272800045868, 1894.960859240924]",None,"[1.5065839802177479, 4.440927439868993, 4.0, 4.0574235575589865]",False,293.6008522999764,296.4051483999938,296.4051483999938,297.61223040000186,['space'],1,[0.33066730000427924],3.3828109000169206,4.389706700021634,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.03955989997485,None,323.25363605069333,2.0,0.00012145913302688714,1,"[0.6088983451868398, 0.6799657339642287, 0.5086163406717742, 0.6044696707618947]","[513.1331619194161, 457.149676189307, 407.2740605153248, 362.8399384449138]",Tone,"[4.0, 7.0, 8.352345427553765, 8.78921793928857]",False,299.0351219000004,301.86581249997835,301.86581249997835,303.08544349999283,['space'],1,[0.3027678000216838],3.4240225999965332,4.454539300000761,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.538481399999,None,2297.3967099940687,-2.0,6.466169967930508e-05,1,"[0.7550946724286746, 0.4511645083051339, 0.5600464217906672, 0.5162959010762369]","[1977.704208554671, 3970.2614605664485, 270.44917678609465, 1094.74286347546]",None,"[4.440927439868993, -0.45241078254740774, 6.13337686125661, 5.290295154862364]",False,304.57147689998965,307.36006929998985,307.36006929998985,308.5642879999941,['space'],1,[0.4145044000179041],3.3309115000010934,4.358290100004524,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,5,0,5,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.952060599986,None,7118.302077679566,-8.0,6.163203133027995e-05,1,"[0.5842090447103344, 0.47378968757845186, 0.5826993995937672, 0.6304357270355414]","[1964.499127930571, 283.66058660566244, 7677.773647499655, 523.2378689076531]",None,"[4.440927439868993, 6.900615931954652, -1.0, 4.0]",False,309.9437570000009,312.60413769999286,312.60413769999286,313.82715800000005,['space'],1,[0.2663466999947559],3.2878218999831006,4.291684299998451,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,6,0,6,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.28427209999063,None,1231.1444133449168,0.0,5.372054966049046e-05,1,"[0.6043910491308948, 0.6297387694404917, 0.6605932101502978, 0.4285740797496627]","[1954.319936868493, 1741.101126592249, 1551.1447618337354, 1381.9128799677767]",Tone,"[4.440927439868993, 3.7654575652601103, 3.735371251845848, 4.026040202278114]",False,315.3159212000028,318.22552439998253,318.22552439998253,319.44710869999835,['space'],1,[0.3350102000113111],3.3701880000298843,4.373433100030525,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.7223191999947,None,,,,,"[0.6376759856519941, 0.6376759856519941, 0.6376759856519941, 0.6376759856519941]","[2712.4875614707184, 3417.5201762749716, 4305.805608529274, 5424.975122941435]",Major_3rd,"[5.0, 2.2889682846151116, -1.8405943648524419, -4.622411110452054]",True,320.72950359998504,323.6659260999877,323.6659260999877,324.87515099998564,None,1,,3.589347600005567,4.612983700004406,None,1,None,1,0,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.37958399998024,None,1515.7165665103996,-3.0,3.5135546789290564e-05,1,"[0.4238943260581003, 0.715721297698187, 0.776496122797798, 0.46612976840006626]","[551.2137091340982, 1541.2983458818662, 2982.2175904162573, 1283.8246982858145]",None,"[3.0, 3.735371251845848, 4.308986853041107, 4.442200552808806]",False,326.38971339998534,329.33699139999226,329.33699139999226,330.5523879999819,['space'],1,[0.625567700015381],3.4058367000252474,4.435106600023573,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.8522361999785,None,135.5717039077587,0.18425475409495107,0.0006420789940921877,1,"[0.7473386898397353, 0.740465247151344, 0.5245289123918582, 0.715200223531374]","[683.2385740940009, 456.0070393034892, 304.3481849221893, 203.1280433892249]",Perfect_5th,"[1.3719891105457638, 7.0, 7.709747770638259, 5.416622651675733]",False,331.86664349999046,334.905820999993,334.905820999993,336.12495929998113,['space'],1,[0.300318800000241],3.7530080000287853,4.781823300028918,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.6992872999981,None,378.9291416275994,-3.0,5.806893951290537e-05,1,"[0.5400235597311978, 0.5400235597311978, 0.5400235597311978, 0.5400235597311978]","[287.62407824521625, 1022.4434446261495, 2858.4946879708004, 438.2508725933763]",None,"[6.900615931954652, 5.06055000320855, 4.908739591731656, 7.4875205611352]",False,337.7267644999956,340.3790533999854,340.3790533999854,341.5900168999797,['space'],1,[0.48247869999613613],3.192189600027632,4.216619400045602,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.98054489999777,None,,,,,"[0.6092800292686389, 0.6092800292686389, 0.6092800292686389, 0.6092800292686389]","[1075.9523881388468, 1207.7157214736915, 1355.615062500792, 1521.6264597736777]",Tone,"[5.290295154862364, 5.0, 4.442200552808806, 3.735371251845848]",True,342.96518020000076,345.80836100000306,345.80836100000306,347.0062292999937,None,1,,3.470582700014347,4.474865000025602,None,1,None,1,0,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.48127119999845,None,144.77606599805708,0.4752150264841535,0.0005773987382631815,1,"[0.5550751855689123, 0.6516688130632562, 0.5553891676380308, 0.7292994701210784]","[305.3709637256503, 573.8070773161207, 165.95013580139982, 5994.298839028853]",None,"[7.709747770638259, 2.479650305886871, 6.459574941411008, -4.461808124366424]",False,348.47298829999636,351.2606964999868,351.2606964999868,352.4840108999924,['space'],1,[0.31575539999175817],3.5179489000001922,4.527741099998821,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.04728239998803,None,176.7766952966369,-6.0,0.0001754260451641794,1,"[0.6144025231849896, 0.6844745522084166, 0.6416306117601843, 0.6077411188465628]","[280.61551207734334, 250.00000000000006, 222.72467953508487, 198.42513149602496]",Tone,"[6.900615931954652, 5.537557901548146, 5.199138554488693, 5.416622651675733]",False,354.1310497999948,357.08776319999015,357.08776319999015,358.28781869998784,['space'],1,[0.3894225000112783],3.5726457000127994,4.596645899990108,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,14,0,14,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.7574354999815,None,614.5917404241341,-4.301707170190773,3.264546514977203e-05,1,"[0.47685050332682133, 0.4490135001593853, 0.6478327310812196, 0.49216739380149543]","[975.6035752802371, 869.1639746302952, 774.3370708518923, 689.855903830496]",Tone,"[5.0, 3.723018073591315, 2.047633898018567, 1.5065839802177479]",False,359.77379310000106,362.3676674999879,362.3676674999879,363.5997570999898,['space'],1,[0.356475100008538],3.087629699992249,4.114552999992156,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.9375754999928,None,189.4645708137998,-7.0,0.00013570784394859175,1,"[0.7502527964493291, 0.6150099416563319, 0.5904815868980442, 0.5801482400970411]","[311.2636346829703, 415.6455520487681, 2787.2130233807356, 7482.827979110705]",None,"[7.709747770638259, 8.0, 5.0, -1.524323124432895]",False,364.968429200002,367.97203209999134,367.97203209999134,369.1749972999969,['space'],1,[0.34552080000867136],3.571440400031861,4.593815000029281,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.58497929997975,None,129.41912858420355,0.0,0.0006833771966570271,1,"[0.5221915041752548, 0.5221915041752548, 0.5221915041752548, 0.5221915041752548]","[479.0499838273181, 3226.6105510326083, 625.0470130178404, 828.638474684922]",None,"[6.0, 3.4224510059389095, 1.698292829809227, 3.0]",False,370.6037859999924,373.1836601999821,373.1836601999821,374.3929188999755,['space'],1,[0.37640599999576807],3.1243708999827504,4.125692000001436,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.77526579998084,None,,,,,"[0.5955119728071695, 0.7369885574423082, 0.7200004910850375, 0.6984116728685185]","[3766.640623005885, 3355.695302731272, 2989.584643672848, 2663.417126820183]",Tone,"[0.9627018844564637, 3.0, 4.308986853041107, 5.238159830709439]",True,375.7812126999779,378.8668428999954,378.8668428999954,380.0733830999816,None,1,,3.7655564000306185,4.802390000026207,None,1,None,1,0,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.6249332999869,None,2223.022136931324,-1.0,7.108223141699609e-05,1,"[0.7249773194639193, 0.6739573026256296, 0.7302971316480316, 0.4253001024565315]","[152.36277179587762, 143.06779034728694, 3931.81477867691, 132.17357282828704]",None,"[6.571339210100276, 6.475215026484154, 0.0, 6.184254754094951]",False,381.62737780000316,384.78897959997994,384.78897959997994,386.0263978999865,['space'],1,[0.5026783999928739],3.591187300015008,4.5957692000083625,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,1,0,1,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.26905269999406,None,4924.577653379667,-9.0,5.2355041962932216e-05,1,"[0.709012088728689, 0.6670211617933924, 0.7409175704215389, 0.6560180652588963]","[7817.279747473972, 6964.404506368996, 6204.579047334942, 5527.651519871107]",Tone,"[-1.0, -2.729523008592409, -4.0, -4.762477236157597]",False,387.2938128999958,390.4282473999774,390.4282473999774,391.64094129999285,['space'],1,[0.42794699998921715],3.809266300027957,4.812509900017176,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,2,0,2,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0689947999781,None,2297.3967099940687,-2.0,6.466169967930508e-05,1,"[0.46083741633295006, 0.46083741633295006, 0.46083741633295006, 0.46083741633295006]","[4746.5598092256305, 259.7270286687519, 4648.719785839424, 405.74152130196893]",None,"[-3.0839600630279165, 6.0, -3.0839600630279165, 8.352345427553765]",False,398.0585999999894,400.46485659998143,400.46485659998143,401.67281170000206,['space'],1,[0.37021660001482815],2.8835240000043996,3.8853429000009783,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,2,0,2,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.96866679997765,None,330.1680599700232,2.3965485698273126,0.0001247674058695006,1,"[0.6835008310928375, 0.6835008310928375, 0.6835008310928375, 0.6835008310928375]","[357.3284467316612, 3590.810087160865, 511.2444512661169, 4473.033287724458]",None,"[8.78921793928857, 2.0, 4.950677049804232, -3.0]",False,402.97309669997776,406.04444469997543,406.04444469997543,407.2611715999956,['space'],1,[0.20137999998405576],3.762550999992527,4.766113099991344,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,2,0,2,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.7867773999751,None,898.1082506528882,-2.0,3.2691763678155045e-05,1,"[0.4151629313184814, 0.5666498744402853, 0.5930936194386813, 0.6072880003376102]","[1425.6579818677142, 1270.1168685524897, 1131.545490081835, 1008.0924266313887]",Tone,"[4.0, 4.876532467017045, 5.2053088615713285, 5.06055000320855]",False,408.78320199999143,411.399751799996,411.399751799996,412.6350936999952,['space'],1,[0.3184820000024047],3.1986750999931246,4.207296400010819,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,2,0,2,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.0338770999806,None,378.9291416275994,-7.0,3.663902387184372e-05,0,"[0.7100835503550799, 0.6850694241514554, 0.5187948022740553, 0.6560360400757119]","[150.37812951026456, 189.46457081379972, 238.71040097760408, 300.75625902052906]",Major_3rd,"[6.571339210100276, 5.7788409976936865, 5.223862564447552, 7.709747770638259]",False,415.24306469998555,418.17727499999455,418.17727499999455,419.3824196999776,None,0,,3.616493800014723,4.631963600026211,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,2,0,2,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.90138579998165,None,,,,,"[0.683991892066876, 0.6131305824735676, 0.7626193958782694, 0.7534134484862884]","[2316.441676808863, 1838.5609772946846, 1459.2668147326315, 1158.2208384044313]",Major_3rd,"[5.1460154689617825, 4.0, 4.0, 5.2053088615713285]",True,420.9044908999931,424.0024392999767,424.0024392999767,425.2255779999832,None,1,,3.8511448000208475,4.860285100003239,None,1,None,1,0,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,2,0,2,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.8046222999983,None,2000.0,-1.0,6.667607160816621e-05,1,"[0.6057627768309177, 0.6057627768309177, 0.6057627768309177, 0.6057627768309177]","[396.8502629920499, 594.6035575013606, 890.8987181403394, 1334.8398541700344]",Perfect_5th,"[8.352345427553765, 2.0, 4.0, 4.442200552808806]",False,426.8232838999829,429.6687488000025,429.6687488000025,430.8699002999929,['space'],1,[0.41677250000066124],3.462235800048802,4.487980400037486,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,2,0,2,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.3379066999769,None,353.5533905932738,-7.0,3.9581673965746926e-05,0,"[0.6660066201165142, 0.4150240029746444, 0.5090004288914778, 0.7177887169476849]","[1917.7774233141897, 603.6303112077628, 766.6745539914331, 951.1143854153582]",None,"[4.0574235575589865, 2.0, 2.047633898018567, 4.512287280576092]",False,432.35662049998064,434.95954929999425,434.95954929999425,436.18225469999015,None,0,,3.369921900011832,4.38097630001721,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
