tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,answer_too_late.rt,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,3,0,3,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.5623433999717,None,357.72861846887895,17.0,0.000619653642973783,1,"[0.6755652154931018, 0.6755652154931018, 0.6755652154931018, 0.6755652154931018]","[141.9646963191573, 178.8643092344395, 225.35490827937628, 283.9293926383146]",Major_3rd,"[15.115265097683078, 13.147815514579257, 16.0, 21.0]",False,491.53436910000164,494.5923892999999,494.5923892999999,495.79764100001194,['space'],1,3.7225909198168665,4.754795519867912,None,1,None,1,,[0.3448452999582514],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.34534520003945,None,203.0630990890589,16.0,0.0016369622261606788,1,"[0.4406863190240619, 0.4406863190240619, 0.4406863190240619, 0.4406863190240619]","[127.92173649959686, 143.58729437462938, 161.1712885549474, 180.90865468004728]",Tone,"[18.0, 15.115265097683078, 13.332629287798131, 13.147815514579257]",False,498.0612672000425,500.42481039999984,500.42481039999984,501.64525810000487,['space'],1,2.785504669533111,3.813277469482273,None,1,None,1,,[0.30215259990654886],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.92530140001327,None,,,,,"[0.40688112637137835, 0.7770627461273616, 0.4962416986768076, 0.6131029704039213]","[2634.236554582606, 1758.1419691842098, 1173.4189848780338, 783.1632133274721]",Perfect_5th,"[26.734255736377243, 30.574079018182736, 29.214969841516492, 24.0]",True,502.9165461000521,505.63595849997364,505.63595849997364,506.85024160007015,None,1,3.325931719620712,4.323050819686614,None,1,None,1,,,0,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.2827774999896,None,757.8582832551998,21.0,0.00045199635245948133,1,"[0.797716871058124, 0.7103217537411831, 0.42827747004590244, 0.4037788639488871]","[229.96378347075964, 900.3337022644112, 351.6110308842218, 6704.070730822111]",None,"[16.854798477107213, 25.999999999999996, 23.0, 36.0]",False,508.2878013000591,511.24128680001013,511.24128680001013,512.4565849000355,['space'],1,3.3690960097592324,4.391349609824829,None,1,None,1,,[0.40973650000523776],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.7139677000232,None,466.6225434918639,15.13290432609035,0.00041769627356019485,1,"[0.6666458034204503, 0.6666458034204503, 0.6666458034204503, 0.6666458034204503]","[1175.8151298017708, 933.2450869837279, 740.7171164110617, 587.9075649008853]",Major_3rd,"[29.214969841516492, 26.93262277190714, 23.0, 20.36950650046022]",False,513.7399396999972,516.7642634999938,516.7642634999938,517.9771593000041,['space'],1,3.681304619880393,4.700096019776538,None,1,None,1,,[0.34048180002719164],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.4971557999961,None,913.2845753730282,20.93262277190714,0.00046301750593301106,0,"[0.7332781125445198, 0.7332781125445198, 0.7332781125445198, 0.7332781125445198]","[305.2677216019455, 170.61819262432195, 7360.373526763236, 305.4919441132259]",None,"[22.0, 13.332629287798131, 36.806267975261164, 22.0]",False,519.5148131999886,522.7368956999853,522.7368956999853,523.9694434000412,None,0,3.955544419819489,4.982517219847068,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.553021300002,None,,,,,"[0.48141590540021206, 0.48141590540021206, 0.48141590540021206, 0.48141590540021206]","[1703.941266353253, 2607.308658801699, 5729.67693729766, 1869.0427311098604]",None,"[30.574079018182736, 27.0, 33.07990894285818, 30.316041856632342]",True,525.5554158000741,528.0428809999721,528.0428809999721,529.2754290000303,None,1,2.9475552197545767,3.9619962197029963,None,1,None,1,,,0,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.5628075000132,None,400.55411290463644,16.424382756355705,0.0005070239684433917,0,"[0.6931613018037015, 0.6581517706743092, 0.6675858083047406, 0.6086445414330202]","[150.91751080979122, 1528.6749901998646, 2971.7729343508463, 168.20721262950485]",None,"[14.012707831730403, 30.626755575124612, 25.15223632413791, 13.332629287798131]",False,530.561166599975,533.592821600032,533.592821600032,534.8151423999807,None,0,3.650402419734746,4.674930819659494,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,8,0,8,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.2882630000822,None,1414.213562373095,22.0,0.0006349055446025294,0,"[0.445523928441643, 0.445523928441643, 0.445523928441643, 0.445523928441643]","[3563.594872561358, 2828.4271247461907, 2244.9240966187463, 1781.7974362806788]",Major_3rd,"[24.602096383335358, 25.863803070070993, 29.0, 30.574079018182736]",False,536.2931976000546,538.6505969000282,538.6505969000282,539.8866230000276,None,0,2.814087809761986,3.8210938097909093,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.144982400001,None,329.87697769322364,14.0,0.0004749197086349175,0,"[0.5926553564423694, 0.5926553564423694, 0.5926553564423694, 0.5926553564423694]","[203.25787291374863, 4364.342145551904, 296.0431382254401, 210.11508749152065]",None,"[14.268407807522046, 26.999999999999996, 22.0, 15.0]",False,541.1503557000542,543.9557720000157,543.9557720000157,545.1732090000296,None,0,3.4018175097880885,4.416133009712212,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.6018332000822,None,1319.5079107728945,23.0,0.0007455877576898717,0,"[0.5321123904023042, 0.5015540807639034, 0.7278368017101366, 0.7274365684919862]","[297.7811514130174, 240.055124657666, 422.02138711006273, 891.7751502195329]",None,"[22.0, 17.0, 22.0, 25.999999999999996]",False,546.6345288000302,549.426778000081,549.426778000081,550.6676185000688,None,0,3.5282632098533213,4.540776009787805,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.2151238999795,None,7381.358077710664,30.806267975261164,0.005648483055589382,0,"[0.44720598635364195, 0.41531221730990403, 0.7351327792283437, 0.6853133563309701]","[298.3628807770942, 6652.268508720903, 3658.3298784524723, 5175.401985784217]",None,"[22.0, 36.0, 24.913705148798854, 31.0]",False,552.2254647000227,554.8407738000387,554.8407738000387,556.0767832000274,None,0,3.3071358198067173,4.3413058198057115,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.6265915000113,None,176.7766952966369,13.0,0.0015634862732566773,1,"[0.7250264904310513, 0.6965248038570757, 0.44298516839693236, 0.41114415552928585]","[890.8987181403394, 594.6035575013606, 396.8502629920499, 264.86577358982385]",Perfect_5th,"[25.999999999999996, 20.36950650046022, 22.424382756355705, 19.849273838440702]",False,557.6385561000789,560.5411817000713,560.5411817000713,561.7764988000272,['space'],1,3.311159909819253,4.345401209779084,None,1,None,1,,[0.42777700000442564],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.0222471000161,None,,,,,"[0.431132013759479, 0.6670115775129104, 0.4314900000046662, 0.526490310810012]","[722.4421379166481, 573.4027048575211, 455.11002844612005, 361.22106895832405]",Major_3rd,"[23.0, 20.36950650046022, 21.132904326090348, 23.0]",True,563.0174141000025,565.5634829000337,565.5634829000337,566.7805425999686,None,1,3.0931272199377418,4.123871919931844,None,1,None,1,,,0,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.1905244999798,None,3031.4331330207992,21.0,0.0006485109083489231,0,"[0.7658902745482854, 0.6104466605668364, 0.770930331561061, 0.5302471947740225]","[1577.934145216959, 2631.721166516564, 2470.376359134392, 352.3560588124312]",None,"[30.673174063951816, 26.734255736377243, 27.652103384288885, 23.0]",False,568.2583442999749,571.4439676000038,571.4439676000038,572.6534935999662,None,0,3.7117210899014026,4.716123989899643,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,15,0,15,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.023253899999,None,5024.156259005171,24.000000000000004,0.0024067437042421904,0,"[0.7915475779298796, 0.4735529464774828, 0.5688317439755499, 0.5796804764465116]","[7975.350930797423, 7105.229920966785, 6330.040228681693, 5639.4247255093005]",Tone,"[36.74751142073656, 36.44079369897291, 35.0, 33.0]",False,574.040462300065,576.8938862000359,576.8938862000359,578.1257129000733,None,0,3.429993019788526,4.4362883197609335,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.5262920000823,None,406.12619817811805,14.0,0.0003821118841650657,1,"[0.5951521437339804, 0.5144968786865297, 0.49197316768713195, 0.48142504360135924]","[255.84347299919392, 287.174588749259, 322.34257710989505, 361.8173093600948]",Tone,"[19.0, 21.146209754046666, 22.77889493520776, 23.0]",False,580.9335972999688,583.5643798999954,583.5643798999954,584.7855107000796,['space'],1,3.103913429309614,4.107575729372911,None,1,None,1,,[0.869889699970372],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.0936779000331,None,223.3209473698174,10.0,0.000694917011313964,1,"[0.7255749938268882, 0.7255749938268882, 0.7255749938268882, 0.7255749938268882]","[140.683381236849, 157.91175626620193, 177.2499533906915, 198.95634574565648]",Tone,"[15.115265097683078, 14.0, 13.147815514579257, 14.0]",False,586.1114346999675,589.3240006000269,589.3240006000269,590.5396970000584,['space'],1,3.919425319880247,4.935470319818705,None,1,None,1,,[0.30731169995851815],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,18,0,18,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.0985940999817,None,,,,,"[0.7063259070427713, 0.7063259070427713, 0.7063259070427713, 0.7063259070427713]","[5604.255902214092, 247.52995868995671, 773.2750551597148, 1945.7799403751935]",None,"[33.0, 18.0, 24.0, 30.0]",True,592.0917973000323,595.247503300081,595.247503300081,596.4569980000379,None,1,3.849590019788593,4.860445519792847,None,1,None,1,,,0,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,3,0,3,0,19,0,19,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.9975598000456,None,164.93848884661182,10.0,0.0012432034805456682,1,"[0.719208004891968, 0.719208004891968, 0.719208004891968, 0.719208004891968]","[831.2378961427879, 554.7847360339226, 370.27438807164117, 247.1285050882241]",Perfect_5th,"[25.0, 20.31287472400956, 22.869908733086287, 18.0]",False,598.016135700047,601.2157441000454,601.2157441000454,602.4519220000366,['space'],1,3.902425809763372,4.915666909771971,None,1,None,1,,[0.348270499962382],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,4,0,4,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.2412812999683,None,1655.3407497288385,24.673174063951816,0.0010147107815767018,1,"[0.6880397626073813, 0.4934766599332407, 0.6913734768115987, 0.4040477090544212]","[1042.7993276660625, 1170.5026693076854, 1313.8448237426933, 1474.7409520188905]",Tone,"[28.0, 29.214969841516492, 30.14951529507025, 30.626755575124612]",False,606.2376073000487,609.1504984999774,609.1504984999774,610.3621446000179,['space'],1,3.31972901977133,4.345339919789694,None,1,None,1,,[0.26808040007017553],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,4,0,4,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.6407034000149,None,297.67157668751105,16.0,0.000738087742326022,1,"[0.6111614580682624, 0.6111614580682624, 0.6111614580682624, 0.6111614580682624]","[342.6358535117899, 361.10292403234274, 1919.21326070402, 1198.210425569118]",None,"[23.0, 23.0, 30.0, 29.733553246263963]",False,611.6471411000239,614.4947941000573,614.4947941000573,615.730789000052,['space'],1,3.4761814197991043,4.496167519828305,None,1,None,1,,[0.2408985000802204],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,4,0,4,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.1990160000278,None,707.1067811865476,17.0,0.0003143487978586953,1,"[0.572686799639598, 0.46103517993586135, 0.6042116678160102, 0.49870652974288243]","[445.4493590701697, 500.00000000000006, 561.2310241546866, 629.9605249474366]",Tone,"[21.791290315692194, 20.592673545545708, 20.36950650046022, 21.0]",False,617.2357413000427,619.888404999976,619.888404999976,621.103746799985,['space'],1,3.1691254096804187,4.203508609673008,None,1,None,1,,[0.27714739996008575],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,4,0,4,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.4843853000784,None,,,,,"[0.5187900452145775, 0.586668135236209, 0.47975550835075736, 0.7247938167522079]","[1855.7615386129225, 3870.3009833414453, 1649.3344539777631, 472.52555811588707]",None,"[30.316041856632342, 25.0, 30.673174063951816, 21.0]",True,622.4802642000141,625.0868204999715,625.0868204999715,626.3110803000163,None,1,3.322543319896795,4.346006119856611,None,1,None,1,,,0,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,4,0,4,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.8690825999947,None,939.7304117629363,21.000000000000004,0.0004750566747119736,0,"[0.43645631599715917, 0.4102952621246556, 0.7232325806857918, 0.4196831451586672]","[1491.7290441989944, 1328.9794932895977, 1183.9861270065003, 1054.811722846036]",Tone,"[30.626755575124612, 30.14951529507025, 29.214969841516492, 28.577008912089823]",False,627.8636261000065,630.4580396000529,630.4580396000529,631.6796792000532,None,0,3.012156819808297,4.022375319735147,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,4,0,4,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.9361746000359,None,753.8979175126566,17.64480579705644,0.0003085405350009163,1,"[0.5106463862431552, 0.5106463862431552, 0.5106463862431552, 0.5106463862431552]","[1899.7037114922098, 1507.7958350253134, 1196.738347336226, 949.8518557461048]",Major_3rd,"[30.316041856632342, 30.626755575124612, 29.733553246263963, 27.000000000000004]",False,632.9331931000343,635.4805844000075,635.4805844000075,636.7191519000335,['space'],1,3.0701230198610574,4.095006719813682,None,1,None,1,,[0.3368896000320092],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,4,0,4,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.0813693000237,None,125.0,15.0,0.004064152580820497,1,"[0.49572174862691076, 0.49572174862691076, 0.49572174862691076, 0.49572174862691076]","[248.67576944018091, 344.3245445367021, 134.52641747118125, 610.9961613427317]",None,"[18.377526291504818, 23.0, 16.517707918015578, 20.78547655111803]",False,638.0835285000503,640.6111903999699,640.6111903999699,641.8168585000094,['space'],1,3.0151934097521007,4.047977809794247,None,1,None,1,,[0.32620859995950013],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,4,0,4,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.1731006000191,None,2639.015821545789,16.0,0.0004874559173554693,0,"[0.41477959924463276, 0.41477959924463276, 0.41477959924463276, 0.41477959924463276]","[4189.176491282508, 3732.1319661472307, 3324.951584571152, 2962.1951045731294]",Tone,"[26.757894318066356, 24.913705148798854, 24.69830876856029, 25.15223632413791]",False,643.193858499988,645.4597393000731,645.4597393000731,646.6942611000268,None,0,2.7072252098005265,3.7195853097364306,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,4,0,4,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.9424602000508,None,928.1634570623957,20.93262277190714,0.0004677256929959911,0,"[0.5058448222804877, 0.5058448222804877, 0.5058448222804877, 0.5058448222804877]","[537.697632026934, 6962.106022958552, 908.8816806689791, 3539.3569612292044]",None,"[20.31287472400956, 36.44079369897291, 26.93262277190714, 24.602096383335358]",False,647.9509687999962,650.5029614000814,650.5029614000814,651.702664899989,None,0,3.043655119719915,4.056121919769794,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
