tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,3,0,3,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.7376191001385,None,3894.7114345247646,-8.225816271421172,3.184269247054242e-05,0,"[0.651586695521416, 0.651586695521416, 0.651586695521416, 0.651586695521416]","[6182.469028277187, 5507.953732234495, 4907.028919624009, 4371.665774370604]",Tone,"[4.0, 4.0, 1.5260602889550174, -1.0]",False,591.7301978999749,594.7225449001417,594.7225449001417,595.9465218000114,None,0,,3.6560575200710446,4.662633419968188,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.4279514001682,None,217.63764082403114,-5.0,0.00012983715067005198,0,"[0.6988571563208633, 0.6988571563208633, 0.6988571563208633, 0.6988571563208633]","[137.1031224618283, 153.8930516681146, 172.7391099959721, 193.89309522921693]",Tone,"[15.679776902457883, 15.697045039826907, 14.136184155122894, 13.0]",False,598.86564250011,602.0006375000812,602.0006375000812,603.2264366999734,None,0,,3.822876399382949,4.84606419946067,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.7554252999835,None,6646.219660524259,-3.0,9.946830883439133e-05,1,"[0.5706655108429434, 0.5706655108429434, 0.5706655108429434, 0.5706655108429434]","[4186.856026259836, 4699.586991212057, 5275.108040363969, 5921.108576040183]",Tone,"[-1.4946441071950893, 0.0, 3.1001626587759517, 4.252363104021113]",False,604.7442427000497,607.473218300147,607.473218300147,608.688158800127,['space'],1,[0.27733629988506436],3.3251788201741874,4.363933120155707,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.1456418000162,None,3156.326717654781,-6.0,3.464721032709132e-05,0,"[0.7387557631588546, 0.7387557631588546, 0.7387557631588546, 0.7387557631588546]","[1101.7690191533454, 3983.441663462834, 961.9255799246971, 1066.1256260873154]",None,"[10.0, -2.2258162714211718, 11.0, 10.0]",False,610.1467959000729,613.4011150000151,613.4011150000151,614.6321943001822,None,0,,3.990727520082146,5.009686320088804,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.1984042001422,None,,,,,"[0.5300302117079477, 0.4857445667482004, 0.5598135787217928, 0.7414362592696961]","[1089.805021397774, 317.0411921436591, 178.53892637239363, 188.23031128481415]",None,"[10.0, 12.37755819938783, 14.0, 13.043143574966717]",True,616.1855598001275,618.8000354000833,618.8000354000833,620.0137162001338,None,1,,3.3596514200326055,4.384574820054695,None,1,None,1,0,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.60282320017,None,233.2582478842019,-5.0,0.00011262740412183961,0,"[0.7540724340674299, 0.7540724340674299, 0.7540724340674299, 0.7540724340674299]","[7114.65890852696, 2281.156705114421, 1042.0754992523437, 2356.61559857557]",None,"[1.0, 7.2413617942191095, 10.0, 7.0]",False,621.6082600001246,624.9122345000505,624.9122345000505,626.1469493000768,None,0,,4.027257320238277,5.050992420176044,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.7120366001036,None,307.7861033362292,-2.0,8.440818067039319e-05,0,"[0.4123510410986825, 0.4123510410986825, 0.4123510410986825, 0.4123510410986825]","[193.89309522921687, 217.63764082403108, 244.28999210856156, 274.2062449236566]",Tone,"[13.0, 11.191061034939638, 10.737984022260164, 11.097731581488885]",False,627.7264378000982,629.9775368000846,629.9775368000846,631.1865785000846,None,0,,2.6854379198048264,3.7139750197529793,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.4892553000245,None,2019.6024996369856,4.877239177966782,0.00013193110666447544,1,"[0.720772490671776, 0.4794485995183084, 0.546760066436025, 0.4948430968516542]","[3205.9191324813564, 2856.149245589229, 2544.539701712941, 2266.9271585132606]",Tone,"[0.0, 2.4303337370849842, 5.0, 7.2413617942191095]",False,632.5035991000477,635.2837251999881,635.2837251999881,636.500877100043,['space'],1,[0.263542199973017],3.2921889200806618,4.298823720077053,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.8403694001026,None,,,,,"[0.5192190179751784, 0.5192190179751784, 0.5192190179751784, 0.5192190179751784]","[434.53828247664313, 257.1318741916488, 363.58909354686625, 904.4062417471971]",None,"[12.746699646986363, 11.0, 13.299892230202929, 12.0]",True,637.8543736001011,640.4443481001072,640.4443481001072,641.6570953000337,None,1,,3.125211020000279,4.12976942001842,None,1,None,1,0,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.0228447001427,None,1414.213562373095,12.0,0.0002007747620013617,1,"[0.5338468271782002, 0.6898170162812787, 0.4448034957387257, 0.6216173031073676]","[377.396773605779, 675.5567098489464, 7344.675410732792, 159.3728960985138]",None,"[13.35483667658238, 13.0, -1.0, 15.697045039826907]",False,643.0339577000123,645.7281431001611,645.7281431001611,646.9366013000254,['space'],1,[0.33066429989412427],3.2991880199406296,4.319678720086813,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,15,0,15,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.405929800123,None,287.17458874925893,-5.0,7.203571398119435e-05,0,"[0.7775359560911412, 0.7070844964823324, 0.7834942421991589, 0.7086388935392204]","[180.90865468004733, 203.06309908905897, 227.93062213955432, 255.84347299919386]",Tone,"[14.0, 11.997537070210154, 11.0, 10.737984022260164]",False,648.4413004000671,651.7359190999996,651.7359190999996,652.947928900132,None,0,,3.9965494200587273,5.020355619955808,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.5146198000293,None,196.5102931152651,7.0,0.0006227039927328056,1,"[0.5589569678370324, 0.5589569678370324, 0.5589569678370324, 0.5589569678370324]","[311.9406460137512, 277.90752166952024, 247.58745481693413, 220.57534612403578]",Tone,"[12.37755819938783, 11.699596671114493, 10.737984022260164, 11.191061034939638]",False,654.5079506000038,657.2221852000803,657.2221852000803,658.4345160999801,['space'],1,[0.2536441998090595],3.282711519859731,4.288468919927254,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.833986800164,None,366.44600888247584,7.354836676582379,0.00019884474160980007,1,"[0.5402853657771952, 0.5402853657771952, 0.5402853657771952, 0.5402853657771952]","[1817.0038229918507, 345.2597037185739, 275.4159173243816, 1849.446405452505]",None,"[13.0, 13.299892230202929, 11.097731581488885, 12.5186359227462]",False,659.845012200065,662.498042399995,662.498042399995,663.7135813001078,['space'],1,[0.32396649988368154],3.20116812014021,4.224046720191836,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.1063946001232,None,,,,,"[0.779150739667287, 0.5596683299919321, 0.7827430692130242, 0.4755345831942334]","[395.1627775997974, 4334.444102051875, 1294.16236617298, 1078.900788403891]",None,"[13.139930138205095, -1.4946441071950893, 12.0, 10.0]",True,665.1143545999657,668.2578441000078,668.2578441000078,669.4672642000951,None,1,,3.649998219916597,4.650854520034045,None,1,None,1,0,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,3,0,3,0,19,0,19,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.8000799999572,None,659.7539553864473,4.0,7.695519420360523e-05,1,"[0.42329876978156694, 0.42329876978156694, 0.42329876978156694, 0.42329876978156694]","[130.91176535257839, 196.14602447418775, 293.8869765709023, 440.33293679807434]",Perfect_5th,"[15.679776902457883, 13.0, 12.0, 12.746699646986363]",False,670.8340557999909,673.1379657001235,673.1379657001235,674.3417138999794,['space'],1,[0.3576470999978483],2.7040449196938425,3.7301012196112424,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.5378604000434,None,3342.5446615708065,-7.0,3.233951778661266e-05,0,"[0.6618440637211334, 0.6618440637211334, 0.6618440637211334, 0.6618440637211334]","[663.2448640035235, 993.7444734385914, 1488.934377160133, 2230.880914304001]",Perfect_5th,"[13.0, 10.379185723991384, 14.0, 8.0]",False,692.5458776000887,695.5520588001236,695.5520588001236,696.759716700064,None,0,,3.6962629198096693,4.7161496200133115,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.3025086000562,None,1414.213562373095,6.0,0.00010062574754963646,0,"[0.689566156231423, 0.689566156231423, 0.689566156231423, 0.689566156231423]","[3610.5626156538524, 7782.071915521314, 3556.9883841334995, 3189.202214755876]",None,"[-2.0, -3.0, -1.5732043655427939, 0.0]",False,698.3314251999836,701.413291899953,701.413291899953,702.6140581001528,None,0,,3.7829474196769297,4.80282431980595,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703.1869560000487,None,985.1482617409342,4.379185723991385,7.223501750265436e-05,1,"[0.7614431606751848, 0.7811979204003967, 0.45935137484344246, 0.5196730368758661]","[4964.836128938989, 3313.6305671655186, 2211.5830715242946, 1476.054612339203]",Perfect_5th,"[1.5260602889550174, -1.0, 8.0, 14.0]",False,704.1852011000738,707.2084842000622,707.2084842000622,708.4160968000069,['space'],1,[0.3095826997887343],3.5629448199179024,4.564341319957748,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.7926700001117,None,3732.1319661472303,-3.0,5.609622067137951e-05,1,"[0.550834399277675, 0.6151273109390503, 0.6372932456758522, 0.4143803411522714]","[2351.0958125672173, 2639.0158215457886, 2962.195104573129, 3324.9515845711517]",Tone,"[7.0, 3.9565504054518565, 1.0, -1.0]",False,711.449007499963,714.2830076999962,714.2830076999962,715.5164827001281,['space'],1,[0.3338957999367267],3.2312925395090133,4.2580205395352095,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.7673253000248,None,2545.548127095465,-1.0,7.403168896845634e-05,1,"[0.5196056199535966, 0.5519184400166371, 0.40376567996613055, 0.5685719378644329]","[362.08847499333166, 733.521363654281, 604.0823748393651, 162.1253664497323]",None,"[13.299892230202929, 13.342534610553045, 12.527670868621039, 15.075435120841334]",False,716.7610464000609,719.2606250999961,719.2606250999961,720.4782720000949,['space'],1,[0.3358675998169929],3.0734305197838694,4.101043219678104,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.9086095001549,None,,,,,"[0.7415209365139046, 0.7415209365139046, 0.7415209365139046, 0.7415209365139046]","[7090.721975124012, 486.52676531959, 3718.397066975496, 678.742095603392]",None,"[1.0, 12.010814040623114, -2.229291087697346, 13.0]",True,721.9087064000778,725.167524700053,725.167524700053,726.3733147000894,['space'],0,[0.4393408000469208],3.9969567202497274,5.001394620165229,None,1,None,1,0,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,6,0,6,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.9459022001829,None,1369.4746509356746,7.0,0.00011539053929672627,1,"[0.7202423517943859, 0.6809455987836663, 0.48407030664133643, 0.5588488656126535]","[3450.8598800225805, 2738.9493018713492, 2173.9055015390727, 1725.4299400112902]",Major_3rd,"[-1.5732043655427939, 3.0, 9.0, 13.716508752903845]",False,727.9473540000618,730.8660053000785,730.8660053000785,732.0989803001285,['space'],1,[0.25166909978725016],3.4932967198546976,4.512465719832107,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.4979910999537,None,176.7766952966369,-5.0,0.00019683126003941905,0,"[0.6138329798770765, 0.7574017315337763, 0.6395983325127398, 0.43791641999482694]","[4035.0782098320506, 1374.148915398947, 450.19745489809713, 3135.877254383229]",None,"[-2.2258162714211718, 13.0, 12.746699646986363, 0.0]",False,733.5029264001641,736.5298595000058,736.5298595000058,737.7465032001492,None,0,,3.4650824200361967,4.473857220029458,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.0238002000842,None,125.0,1.0,0.0008109050486794653,0,"[0.5821129541204784, 0.6154536197547229, 0.6523228485972538, 0.4781724678906205]","[314.9802624737183, 250.00000000000003, 198.42513149602496, 157.49013123685916]",Major_3rd,"[12.37755819938783, 10.737984022260164, 12.0, 15.697045039826907]",False,739.0392863999587,741.9133077999577,741.9133077999577,743.1444439000916,None,0,,3.3733706998173147,4.3851512998808175,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.4537871000357,None,,,,,"[0.4597149870546465, 0.4597149870546465, 0.4597149870546465, 0.4597149870546465]","[243.87703892579282, 307.2658149286377, 387.13066814169304, 487.7540778515856]",Major_3rd,"[10.737984022260164, 12.37755819938783, 13.35483667658238, 12.010814040623114]",True,744.4676868000533,746.8780217999592,746.8780217999592,748.0869535000529,None,1,,2.8786189197562635,3.893805719912052,None,1,None,1,0,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.4010759000666,None,184.64881975188786,7.043143574966717,0.0007229972863585074,1,"[0.6817542114392536, 0.6817542114392536, 0.6817542114392536, 0.6817542114392536]","[988.0785425115974, 6455.005332094949, 313.3797902109858, 1626.7569101575973]",None,"[10.379185723991384, 3.3231560339757156, 12.37755819938783, 14.259634010736352]",False,749.4065575001296,752.483297200175,752.483297200175,753.6920062000863,['space'],1,[0.3148161999415606],3.7792113199830055,4.792570220073685,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.2407060000114,None,500.0,6.0,0.0001425509133751955,0,"[0.7148115090691888, 0.7148115090691888, 0.7148115090691888, 0.7148115090691888]","[203.4866898906327, 273.1396112469876, 6979.307977967162, 428.79804284915036]",None,"[11.997537070210154, 11.097731581488885, 1.429584990538534, 12.746699646986363]",False,756.2825138000771,759.4636140000075,759.4636140000075,760.6861537001096,None,0,,3.8740558796562254,4.903241179650649,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.2287093000486,None,863.1883763945798,6.155450019189026,8.158484840418761e-05,1,"[0.46827760011367625, 0.4678623335431733, 0.6777597239622744, 0.6926677186275063]","[2834.648784029376, 3697.153238841239, 359.749753610749, 7026.661106323196]",None,"[2.4303337370849842, -2.229291087697346, 13.299892230202929, 1.0]",False,762.2227640000638,764.8658972999547,764.8658972999547,766.0876613999717,['space'],1,[0.38707289984449744],3.352924820035696,4.386664720019326,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.6528750001453,None,,,,,"[0.7660818290490926, 0.6455869160232379, 0.6778398491526976, 0.4127855719555016]","[7280.046027627044, 1321.5321880203066, 2009.3575458435705, 422.9749524879406]",None,"[0.0, 12.060778396820584, 10.877239177966782, 13.0]",True,767.6448876000941,770.7774718999863,770.7774718999863,771.9781612001825,None,1,,3.540695620002225,4.550395119935274,None,1,None,1,0,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,4,0,4,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.228477000026,None,4189.253235303271,-7.494644107195089,4.091372793452326e-05,1,"[0.4702136064929425, 0.4702136064929425, 0.4702136064929425, 0.4702136064929425]","[433.32755083348616, 3215.605234058045, 1264.4615249916199, 2535.4849102778517]",None,"[12.746699646986363, -0.4465051926092025, 11.0, 5.0]",False,773.2273524000775,775.6701374000404,775.6701374000404,776.8797326001804,['space'],1,[0.3324120999313891],2.931791119975969,3.958732519997284,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
