tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,answer_too_late.rt,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,4,0,4,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.5728425999996,None,378.9291416275994,14.0,0.0004110966093181885,1,"[0.7718340664458918, 0.6703899971154378, 0.4271988222045815, 0.6325991073664422]","[2572.860792881429, 314.94020008702074, 772.8430045668581, 5174.346130313514]",None,"[16.0, 30.319445914765076, 20.0, 16.36011602406733]",False,740.5942081000003,743.4960753999994,743.4960753999994,744.7149761999999,['space'],1,3.5394509333336828,4.573740633333728,None,1,None,1,,[0.5788634999989881],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,4,0,4,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.2077706,None,250.0,16.0,0.0010567445199183233,1,"[0.6983692328897382, 0.6983692328897382, 0.6983692328897382, 0.6983692328897382]","[321.72579026709883, 204.70089661779517, 1712.4868745144204, 233.78879109369754]",None,"[31.0, 21.32939044129742, 18.593949728891563, 24.24342220532535]",False,746.2306153,749.3577267999999,749.3577267999999,750.5907520999999,['space'],1,3.821355133333782,4.844976833333931,None,1,None,1,,[0.5823285999995278],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,4,0,4,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.1124444999996,None,,,,,"[0.4042399466667058, 0.5619571362196378, 0.5964532691014296, 0.6787919727124656]","[455.7072611602213, 405.989014814886, 361.6950928776411, 322.2336946023414]",Tone,"[29.0, 30.520988351585586, 31.367258929177495, 31.0]",True,752.1154700999996,754.6972901999998,754.6972901999998,755.9351508,None,1,3.27903516666629,4.306989166666426,None,1,None,1,,,0,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,4,0,4,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.4571405999995,None,813.4927273663421,13.340815922505353,0.0001800238380890297,1,"[0.7901376682707902, 0.5148676101400889, 0.7159089325227401, 0.5207336268723788]","[975.7482535860568, 2695.7337827404135, 852.7549161568976, 1602.2161499007752]",None,"[17.0, 15.727744022958504, 18.368777138069806, 18.3463712165465]",False,757.4656531,760.5028427999996,760.5028427999996,761.7492439999996,['space'],1,3.563066066666579,4.600000166666177,None,1,None,1,,[0.42172519999985525],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,4,0,4,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.1685591999994,None,2010.8468275689725,12.297056651816593,0.00030918357772104823,0,"[0.5791740932791356, 0.5791740932791356, 0.5791740932791356, 0.5791740932791356]","[3192.0203694299034, 2843.7668554029533, 2533.5082461684747, 2257.0992489094733]",Tone,"[15.585569304371509, 15.379151084288148, 16.0, 17.053352851256424]",False,763.1152585,765.8667304999999,765.8667304999999,767.0969067999995,None,0,3.334730666667383,4.356313366667564,None,1,None,1,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,4,0,4,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.5178900000001,None,4000.0,9.0,0.00023657562948074026,1,"[0.5566932945183417, 0.5566932945183417, 0.5566932945183417, 0.5566932945183417]","[6349.6042078728005, 5656.854249492382, 5039.684199579494, 4489.8481932374925]",Tone,"[17.0, 16.27400671602057, 16.63148241128642, 16.900627338425906]",False,769.8114254000002,772.5102765000001,772.5102765000001,773.7288578999996,['space'],1,3.24255813333275,4.277781833333393,None,1,['space'],0,[-4.691901800000778],[0.31916569999975763],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,4,0,4,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.1379084,None,,,,,"[0.5793697102891198, 0.5793697102891198, 0.5793697102891198, 0.5793697102891198]","[454.7915620630723, 405.1732196630337, 360.9683020225908, 321.586197561221]",Tone,"[29.0, 30.520988351585586, 31.367258929177495, 31.0]",True,775.1474821000002,777.9241163999995,777.9241163999995,779.1482381999995,None,1,3.333728466665889,4.347465366666256,None,1,None,1,,,0,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,4,0,4,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.5338738,None,4594.793419988137,-5.0,7.021701419132942e-05,0,"[0.5802519908066505, 0.4579092419801893, 0.6226382137161658, 0.5362605388860072]","[186.89196163419666, 858.6762080600721, 731.1795608535078, 2000.2668958214701]",None,"[20.30014022602802, 18.368777138069806, 21.0, 18.297056651816593]",False,780.5528058999998,783.2463373,783.2463373,784.4674058,None,0,3.205099566665922,4.242225666665945,None,1,None,1,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,4,0,4,0,18,0,18,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.8488784000001,None,381.4533744487062,25.1577337793156,0.0014734892387972627,1,"[0.5414864953024234, 0.5414864953024234, 0.5414864953024234, 0.5414864953024234]","[5166.109357506514, 873.1858192390206, 559.3444337517351, 7632.73213520696]",None,"[16.36011602406733, 18.368777138069806, 25.0, 20.0]",False,785.8535859000003,788.5079905000002,788.5079905000002,789.7265976999997,['space'],1,3.1864961666660747,4.224253066665369,None,1,None,1,,[0.37617820000014035],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,4,0,4,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.1274934000003,None,2811.404181667011,9.379151084288148,0.0001959139244727179,1,"[0.6855586653674492, 0.44255312968800514, 0.44579635483123403, 0.5455454412035179]","[1115.7064888715024, 1405.7020908335057, 1771.073654122369, 2231.4129777430044]",Major_3rd,"[16.41519521995837, 17.39714282839313, 18.593949728891563, 17.053352851256424]",False,791.1311416999997,793.7414440000002,793.7414440000002,794.9795503999994,['space'],1,3.1409432666659995,4.1651022666665085,None,1,None,1,,[0.6671641999992062],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.1668867999997,None,164.93848884661182,11.0,0.0013948972476246718,1,"[0.6362335156814245, 0.7887643688098112, 0.6546753075744713, 0.6088875518864887]","[831.2378961427879, 554.7847360339226, 370.27438807164117, 247.1285050882241]",Perfect_5th,"[19.0, 25.0, 31.1577337793156, 25.93472087272818]",False,805.1635472999997,808.2647052000002,808.2647052000002,809.4951786000001,['space'],1,3.702690566666206,4.720068366666055,None,1,None,1,,[0.570025899999564],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.9385200999996,None,,,,,"[0.534445506454758, 0.534445506454758, 0.534445506454758, 0.534445506454758]","[458.92340766610243, 687.6081894504836, 1030.2482163720215, 1543.6281935297784]",Perfect_5th,"[28.42596580616531, 22.0, 16.907295475076943, 18.0]",True,810.9470290999998,813.5754117999995,813.5754117999995,814.8015094000002,None,1,3.157473366666636,4.1701468666669825,None,1,None,1,,,0,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.1610469999996,None,326.66621913827737,25.0,0.0016999014160051363,1,"[0.6717851310638807, 0.6717851310638807, 0.6717851310638807, 0.6717851310638807]","[518.550299902576, 461.97579747449345, 411.5736457818872, 366.67043344742933]",Tone,"[27.0, 28.42596580616531, 30.520988351585586, 31.1577337793156]",False,816.1682335999994,819.2119584000002,819.2119584000002,820.4547815999995,['space'],1,3.7184483666660526,4.749024266665401,None,1,None,1,,[0.5220976000000519],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.9689004000002,None,4924.577653379667,1.0,0.0001655611795965586,0,"[0.43297799535205134, 0.43297799535205134, 0.43297799535205134, 0.43297799535205134]","[4325.273859932819, 190.48119791118467, 5694.368292553186, 412.4656429135618]",None,"[17.0, 20.30014022602802, 16.27400671602057, 30.520988351585586]",False,821.9873435999998,824.299505,824.299505,825.5158384999995,None,0,2.738547266666501,3.7734362666669767,None,1,None,1,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.8133482000003,None,337.8088867301166,25.087801539139534,0.0016652084876726209,0,"[0.7072412189414721, 0.703015292994633, 0.48601791787917425, 0.4708593493884642]","[212.8062636164134, 238.86695455194376, 268.1190910797967, 300.95350416427596]",Tone,"[22.0, 25.0, 27.612229534922236, 30.0]",False,826.8215555999996,829.7627287999994,829.7627287999994,830.9891238999999,None,0,3.4091169666653514,4.425279066665098,['space'],0,None,1,,,,[-0.034239500000694534],,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.2957165999997,None,176.7766952966369,4.0,0.0005547458636343738,0,"[0.6897400141608383, 0.7518370324575211, 0.6176078628051423, 0.6055995332110317]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[29.0, 31.367258929177495, 29.0, 23.0]",False,834.3590365,837.4326184000001,837.4326184000001,838.6591724,None,0,3.6741285000007338,4.69094910000058,None,1,None,1,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.1012906999995,None,859.0308572422066,12.368777138069806,0.00016633983603141447,1,"[0.4528863549869821, 0.42498967097993645, 0.4580080416790176, 0.660230489562004]","[410.94362305322335, 212.66811870440512, 356.5581332105802, 4815.741277618663]",None,"[30.520988351585586, 22.0, 31.367258929177495, 16.63148241128642]",False,840.1058532999996,842.4524197999999,842.4524197999999,843.6665875999997,['space'],1,3.018692666665629,4.036812666666265,None,1,None,1,,[0.2444986999998946],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,7,0,7,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.1930344000002,None,2159.121640730495,11.751466951271459,0.0003030761700981998,1,"[0.5080153182946829, 0.6077867458367144, 0.428852141270483, 0.45405190022207664]","[1360.161402219953, 1526.7295535671574, 1713.695981911446, 1923.5587020358641]",Tone,"[17.0, 18.0, 18.593949728891563, 18.58621091439418]",False,845.1975272999998,847.7625376999995,847.7625376999995,848.9783416999999,['space'],1,3.03331846666606,4.07579746666579,None,1,None,1,,[0.25950189999912254],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.3189548,None,,,,,"[0.7427810062478462, 0.6046462720723036, 0.7693963155586687, 0.5947286375879122]","[744.5549676386098, 590.9536694388389, 469.0402382658403, 372.2774838193049]",Major_3rd,"[20.393573098672633, 24.0, 28.42596580616531, 31.1577337793156]",True,850.3309854999998,853.4617320999996,853.4617320999996,854.6811711,None,1,3.7262994666652958,4.757773866665957,None,1,None,1,,,0,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.1367615999998,None,125.0,19.0,0.006441247758465671,0,"[0.7142341201797676, 0.5019918826700681, 0.442833438711685, 0.522581106959225]","[5873.107277269122, 170.97221244942875, 174.8035406000389, 6703.875943004767]",None,"[16.53660351984219, 19.6209483717776, 19.6209483717776, 18.0]",False,856.1538547,858.8429176999998,858.8429176999998,860.0615257999998,None,0,3.2005215666667937,4.219140366667489,None,1,None,1,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,10,0,10,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.4262798999998,None,8000.0,12.0,0.000722719885372964,0,"[0.6871740579088284, 0.6871740579088284, 0.6871740579088284, 0.6871740579088284]","[3174.8021039364003, 4000.0000000000014, 5039.684199579494, 6349.604207872799]",Major_3rd,"[15.585569304371509, 16.867300937553054, 16.63148241128642, 17.0]",False,861.4616307999995,864.5410472000003,864.5410472000003,865.7799679,None,0,3.7865951333333214,4.807853133333083,None,1,None,1,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.3171106,None,6783.72128608045,12.0,0.0005759445200204999,1,"[0.7543998669986014, 0.7543998669986014, 0.7543998669986014, 0.7543998669986014]","[2692.1215764457943, 3391.860643040226, 4273.476622476341, 5384.243152891588]",Major_3rd,"[15.727744022958504, 16.0, 17.0, 16.36011602406733]",False,867.3396575999996,870.6426222,870.6426222,871.8735803,['space'],1,4.040717166667491,5.066577566667547,None,1,None,1,,[0.5345713999995496],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,12,0,12,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.4587430000001,None,198.62299151849365,15.0,0.0015208929181433778,1,"[0.5444266069895627, 0.5444266069895627, 0.5444266069895627, 0.5444266069895627]","[1208.9912876850244, 2281.0542772949248, 4491.322977968989, 296.279598279282]",None,"[16.557281121282692, 17.053352851256424, 16.900627338425906, 30.0]",False,873.4685244000002,876.1503672999997,876.1503672999997,877.3873191000002,['space'],1,3.210200666666424,4.239836866666337,None,1,None,1,,[0.27379219999966153],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.7587351000002,None,8000.0,11.0,0.000644124775846567,0,"[0.7489964889207612, 0.7489964889207612, 0.7489964889207612, 0.7489964889207612]","[230.54091989928148, 7429.014161264686, 203.27875014193813, 576.1701620505852]",None,"[24.0, 19.76339531111048, 21.32939044129742, 24.811445844059197]",False,880.5137748999996,883.7855253999996,883.7855253999996,885.0036766000003,None,0,4.001618133333977,5.023890533334452,None,1,None,1,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885.5985279999995,None,,,,,"[0.726072663503832, 0.726072663503832, 0.726072663503832, 0.726072663503832]","[4030.2674158605696, 214.7747280237817, 348.34385718609497, 343.10373293401074]",None,"[16.867300937553054, 22.667073298204066, 31.367258929177495, 31.367258929177495]",True,886.6131583999995,889.8172165999995,889.8172165999995,891.0525658999995,None,1,3.945391066667071,4.963163066667221,None,1,None,1,,,0,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,15,0,15,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.6177133000001,None,3732.1319661472303,7.0,0.00017739182544897908,0,"[0.4105384873547184, 0.641914419038396, 0.7600204963111734, 0.7445911966889736]","[1481.097552286565, 1866.0659830736156, 2351.095812567218, 2962.1951045731294]",Major_3rd,"[17.90976647246743, 18.58621091439418, 17.0, 15.338393759349065]",False,892.7104340999995,895.5616596,895.5616596,896.8013768999999,None,0,3.5813998000003266,4.607024700000693,None,1,None,1,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897.3636819000003,None,176.7766952966369,8.0,0.0008792129428200801,1,"[0.6055664085289244, 0.6055664085289244, 0.6055664085289244, 0.6055664085289244]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[29.0, 31.367258929177495, 29.0, 23.0]",False,898.3967597999999,901.2373853999998,901.2373853999998,902.4603369999995,['space'],1,3.448377733333473,4.471106833333579,None,1,None,1,,[0.4180133999989266],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.9178104000002,None,707.2153384737467,15.479916871836636,0.0002638241379558666,0,"[0.7871196252067851, 0.7871196252067851, 0.7871196252067851, 0.7871196252067851]","[6508.540595340864, 674.5714540872415, 3996.4916772500433, 4411.543688573658]",None,"[17.240842932260975, 22.0, 16.867300937553054, 17.0]",False,903.9309100999999,907.3174397000003,907.3174397000003,908.5428884000003,None,0,4.18660326666668,5.227297866666959,None,1,None,1,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,18,0,18,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909.2127884000001,None,,,,,"[0.5723892434877252, 0.5418447793383272, 0.5398538418449923, 0.4227907904426656]","[1756.5863709572277, 1172.3807476228078, 782.4702730942923, 522.236252614786]",Perfect_5th,"[18.593949728891563, 16.41519521995837, 20.0, 26.0]",True,910.2322649999996,912.9006184,912.9006184,914.1215424000002,None,1,3.110424066667292,4.123141566667982,None,1,None,1,,,0,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,5,0,5,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914.3930039999996,None,2148.5515040421838,11.751466951271459,0.000302169673407584,1,"[0.49525275444271416, 0.7814394229503248, 0.4120273287920791, 0.5547692586969606]","[426.3266147155524, 638.7681838891906, 957.0708904048397, 1433.9860881662382]",Perfect_5th,"[30.0, 23.0, 17.536976808502533, 17.39714282839313]",False,915.3991402000001,918.1224738999999,918.1224738999999,919.342799,['space'],1,3.270081666666556,4.2914219666663485,None,1,None,1,,[0.7806340999995882],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
