tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,3,0,3,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.6854039,None,,,,,"[0.731777696224831, 0.4684430720576247, 0.5483835877700087, 0.649461038306921]","[381.0907491984326, 480.14425683531294, 604.9438561729411, 762.1814983968651]",Major_3rd,"[11.833242802693402, 9.745531665775763, 8.241478389069105, 9.457909470134442]",True,673.6873893000002,676.4669513999997,676.4669513999997,677.6700012000001,None,1,,3.4466073299990967,4.470425729999079,None,1,None,1,0,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,3,0,3,0,18,0,18,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.1824501000001,None,435.2752816480623,-5.0,4.203609419229965e-05,1,"[0.7153840237766751, 0.4714942799527351, 0.42484146173912357, 0.696771811190036]","[1096.8249796946266, 870.5505632961247, 690.9564399838885, 548.4124898473133]",Major_3rd,"[14.0, 10.945713403216956, 8.86680171705992, 8.582694964616035]",False,679.2657080999998,681.9035470999997,681.9035470999997,683.1035726,['space'],1,[0.4025131000003057],3.3454633100000137,4.369796209999549,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,3,0,3,0,19,0,19,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.6788277000005,None,615.5722066724584,-4.0,3.370283309245974e-05,0,"[0.5179289568975383, 0.6462676836296777, 0.4396990356939287, 0.6740375328593384]","[1404.8244557994108, 7961.19307423198, 173.41658439423577, 826.0612351923409]",None,"[16.545527686064084, -6.0, 11.89549327517948, 10.161245385309872]",False,684.7009791999999,687.3232933999998,687.3232933999998,688.5396421000005,None,0,,3.292866729999332,4.306138629999623,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.6807183000001,None,1195.0352329559057,9.0,0.00014714835483547399,1,"[0.6196110422136343, 0.6468918798587099, 0.6859089443643651, 0.7496635672160652]","[474.2500464833169, 597.517616477953, 752.8250226835846, 948.5000929666336]",Major_3rd,"[9.745531665775763, 8.241478389069105, 9.457909470134442, 12.0]",False,693.6821129999998,696.6766101000003,696.6766101000003,697.8990709999998,['space'],1,[0.4780644999996184],3.7496827300001314,4.765924730000734,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.4874559999998,None,,,,,"[0.7061392100119516, 0.7061392100119516, 0.7061392100119516, 0.7061392100119516]","[348.2886679380125, 136.59588741988878, 430.8093284609208, 1884.7027298998278]",None,"[12.413360172591144, 9.452158704192678, 10.466518661113334, 12.653614237667398]",True,699.4904628000004,702.6349425999997,702.6349425999997,703.8601316000004,['space'],0,[0.24569860000019617],3.8712404299994887,4.887765229999786,None,1,None,1,0,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.4107922000003,None,125.0,-3.0,0.0005116464961403772,0,"[0.5123735996453714, 0.5123735996453714, 0.5123735996453714, 0.5123735996453714]","[198.42513149602502, 176.77669529663694, 157.49013123685918, 140.30775603867164]",Tone,"[13.0, 11.89549327517948, 10.518628407903087, 9.926484340641395]",False,705.4343684000005,707.9846261000002,707.9846261000002,709.2055380000002,None,0,,3.0686979299989616,4.0848878299993885,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.5603664,None,1302.259836084611,10.310816631830267,0.00017440087214026526,0,"[0.6501354939533348, 0.6501354939533348, 0.6501354939533348, 0.6501354939533348]","[820.3722899578241, 920.8367609623101, 1033.6043168683232, 1160.1816186534281]",Tone,"[10.161245385309872, 11.810490103672866, 13.0, 15.0]",False,710.5648499999998,713.5494000999997,713.5494000999997,714.7729753000003,None,0,,3.6471140300000116,4.664827329999753,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.2688350999997,None,8000.0,-12.0,4.560054196779548e-05,1,"[0.6611073943216108, 0.6611073943216108, 0.6611073943216108, 0.6611073943216108]","[3174.8021039364003, 4000.0000000000014, 5039.684199579494, 6349.604207872799]",Major_3rd,"[7.4017923300165425, 6.998383765704977, 4.0, -1.0]",False,717.6426250000004,720.6575541000002,720.6575541000002,721.8826169000004,['space'],1,[0.31128969999963374],3.651795900000252,4.669013699999596,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.3647355000003,None,,,,,"[0.7029417162394322, 0.7029417162394322, 0.7029417162394322, 0.7029417162394322]","[370.5674332759996, 294.11956670373866, 233.44285479497287, 185.2837166379998]",Major_3rd,"[12.0, 13.618319380339361, 13.818573845899522, 12.566600393381808]",True,723.3684682000003,726.5109683000001,726.5109683000001,727.7294967999997,None,1,,3.866519430000153,4.881221229999937,None,1,None,1,0,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,6,0,6,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.2781290000003,None,8000.0,-15.0,3.228271145173278e-05,1,"[0.7229938898576752, 0.7836591034868291, 0.726490099390559, 0.6177097582764833]","[5039.684199579492, 5656.8542494923795, 6349.604207872798, 7127.189745122714]",Tone,"[4.0, 1.8335357558189784, -1.0, -4.0]",False,729.2925432000002,732.5683435000001,732.5683435000001,733.7890599000002,['space'],1,[0.40944470000022193],3.8876218299992615,4.904391729999588,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.2412592000001,None,267.9433656340732,-5.0,8.349270441553178e-05,0,"[0.6653731644198533, 0.6653731644198533, 0.6653731644198533, 0.6653731644198533]","[1450.6152135712339, 6209.028357551531, 504.5383145961069, 4527.908560504965]",None,"[16.545527686064084, -1.0, 9.0, 6.0]",False,735.2632865000005,738.2905159000002,738.2905159000002,739.5124704,None,0,,3.7031659300000683,4.718235629999981,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.0221567999997,None,486.5425803251877,3.0940458950170058,0.00010299881916326706,1,"[0.48648678060652634, 0.48648678060652634, 0.48648678060652634, 0.48648678060652634]","[425.5869493691253, 2174.4301987905183, 3854.5584942765972, 5453.912039534854]",None,"[10.466518661113334, 9.603771077163932, 7.297497051478493, 3.0]",False,741.0305686000002,743.5249180999999,743.5249180999999,744.7412555999999,['space'],1,[0.39350530000001527],2.991314230000171,4.012705330000244,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.0833964000003,None,360.4827950534848,6.413360172591144,0.00018165809135110877,1,"[0.7346854015135422, 0.7346854015135422, 0.7346854015135422, 0.7346854015135422]","[572.2307680843386, 509.79965776679904, 454.17986161282494, 404.6282565160224]",Tone,"[8.287388138157038, 9.0, 10.0, 11.179917103400358]",False,746.0849927999998,749.3101354,749.3101354,750.5227802999998,['space'],1,[0.2394430999997894],3.980638829999407,4.99070582999957,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.1198297000001,None,8000.0,-8.0,7.22719885372964e-05,1,"[0.5572615039166623, 0.5572615039166623, 0.5572615039166623, 0.5572615039166623]","[3631.8482822529313, 5537.1030004582935, 278.4711114495789, 413.82034424117643]",None,"[7.297497051478493, 2.0, 13.618319380339361, 11.0]",False,752.1365256999998,754.8459156999998,754.8459156999998,756.0680236999997,['space'],1,[0.2984622999997555],3.2555617300004087,4.278232229999958,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.4601058999997,None,997.6458877289995,6.7537326557169965,9.571863920197509e-05,0,"[0.5642721105396867, 0.5642721105396867, 0.5642721105396867, 0.5642721105396867]","[964.0588423565071, 2586.836773730873, 613.3701678293135, 577.189537043765]",None,"[12.0, 7.357996047207937, 8.241478389069105, 8.287388138157038]",False,757.4666482000002,760.1902049,760.1902049,761.4175893000001,None,0,,3.3021208299996943,4.328774329998851,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.8495407999999,None,,,,,"[0.40369776485665265, 0.40369776485665265, 0.40369776485665265, 0.40369776485665265]","[957.3229984416915, 638.9364458167638, 426.4389160789845, 284.6138302756496]",Perfect_5th,"[12.0, 8.446569919492394, 10.466518661113334, 13.618319380339361]",True,762.8398112000004,765.0780995000005,765.0780995000005,766.3002417999996,['space'],0,[0.0671635999992759],2.675439529999494,3.6980426299996907,None,1,['space'],0,0,[-3.0643299999997],,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.5704397999998,None,4840.432637392508,-1.0,0.00012634987093311154,0,"[0.6443588207561497, 0.45227939406201184, 0.6748281311872569, 0.49247135653122864]","[305.13132040548834, 479.1856307900368, 330.46600092128335, 228.976995753172]",None,"[13.308224635178409, 9.745531665775763, 12.900648495033222, 13.818573845899522]",False,767.5712622000001,770.3877638000004,770.3877638000004,771.6129214000002,None,0,,3.314597429999594,4.344407829999909,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.9663791000003,None,125.0,0.0,0.000722719885372964,0,"[0.6249062919473254, 0.6249062919473254, 0.6249062919473254, 0.6249062919473254]","[634.9513712700532, 156.4498585354975, 232.99512021621436, 6501.868182206346]",None,"[8.241478389069105, 10.518628407903087, 13.818573845899522, -1.8442053410312722]",False,772.9812222,775.8854406999999,775.8854406999999,777.0864753000005,None,0,,3.525229629999558,4.545783829999891,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.5712498000003,None,5502.19797317265,-4.0,8.469141109890681e-05,0,"[0.7096950416907701, 0.7096950416907701, 0.7096950416907701, 0.7096950416907701]","[620.7743003572141, 2924.527117379149, 268.61793276017204, 5722.395113681901]",None,"[8.241478389069105, 7.262032003682652, 13.823623790394164, 1.8335357558189784]",False,778.5728037999997,781.7438462999999,781.7438462999999,782.945984,None,0,,3.8993503299989243,4.933728129998599,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.5573388000003,None,2828.42712474619,-4.0,4.131885137928784e-05,1,"[0.5037050505978888, 0.6986051207314881, 0.46280279925461737, 0.41516353463259836]","[167.25469594924303, 6137.9742211837965, 1740.409218822235, 2926.6296064043536]",None,"[11.19510911771042, 0.0, 14.20069527069938, 7.262032003682652]",False,784.6587571999999,787.3413370999997,787.3413370999997,788.5575875000004,['space'],1,[0.6833784000004925],3.1136577999996007,4.140289999999368,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.8286426000004,None,,,,,"[0.5820238922006046, 0.5820238922006046, 0.5820238922006046, 0.5820238922006046]","[613.009901164317, 772.3440782708985, 973.0925619751584, 1226.0198023286334]",Major_3rd,"[8.241478389069105, 9.457909470134442, 12.753732655716997, 15.663953319519575]",True,789.8323986000005,792.6091400000005,792.6091400000005,793.8167555,None,1,,3.3598082399994382,4.382348639999691,None,1,None,1,0,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.2712158000004,None,140.29174948372426,3.9264843406413945,0.0009218317363911755,1,"[0.6694537805726886, 0.7527906621029758, 0.6082981133805079, 0.5601685040550349]","[5444.241383400023, 2914.8332024495035, 4499.665754043711, 708.7090728720565]",None,"[3.0, 7.262032003682652, 6.0, 8.86680171705992]",False,795.2734461,798.3422800999997,798.3422800999997,799.5663455000004,['space'],1,[0.17527449999988676],3.6372801299994535,4.656146029999036,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,4,0,4,0,19,0,19,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.9715807000002,None,217.63764082403114,-6.0,0.00011571748233929631,0,"[0.4211899388558008, 0.4211899388558008, 0.4211899388558008, 0.4211899388558008]","[1096.8249796946266, 732.0428479728131, 488.57998421712324, 326.08801744139123]",Perfect_5th,"[14.0, 9.0, 9.094045895017006, 13.0]",False,800.9919337000001,803.2708621000002,803.2708621000002,804.4930366999997,None,0,,2.6964258300004076,3.7181229300003906,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,5,0,5,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.5229947999997,None,2000.0,1.0,8.394020090612804e-05,1,"[0.7848014774517725, 0.7774566122953345, 0.7186599548020527, 0.4073955240586523]","[245.30895136714904, 852.8135248715447, 126.0841613108022, 5041.137854939931]",None,"[13.899582780124295, 10.945713403216956, 9.102958615505726, 4.0]",False,822.5468458000005,825.8421822,825.8421822,827.0503103000001,['space'],1,[0.31598149999945235],3.7123619300000428,4.716792330000317,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,5,0,5,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.3170909999999,None,1651.4468835666364,9.0,0.00016649182109373286,1,"[0.5967840614898539, 0.5967840614898539, 0.5967840614898539, 0.5967840614898539]","[327.6885650304104, 490.97809599662855, 735.6359558231873, 1102.2085586148232]",Perfect_5th,"[12.900648495033222, 9.094045895017006, 9.0, 14.0]",False,828.3172096999997,831.1306815999997,831.1306815999997,832.3541271000004,['space'],1,[0.3289561999995385],3.4412720300006185,4.465801830000601,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,5,0,5,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.8234660999997,None,,,,,"[0.6091442267653275, 0.7465609891039298, 0.6655164273735281, 0.7305135437945358]","[321.17526280272324, 164.79899502801626, 341.75053288177196, 1723.270582750909]",None,"[13.0, 11.19510911771042, 12.413360172591144, 14.20069527069938]",True,833.8236593000001,836.8728834000003,836.8728834000003,838.0985934,['space'],0,[0.0691182999994453],3.8100797299994156,4.824011029999383,None,1,None,1,0,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,5,0,5,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.6792917000002,None,500.0,0.0,7.144469792555515e-05,1,"[0.43732132912374416, 0.43732132912374416, 0.43732132912374416, 0.43732132912374416]","[314.98026247371826, 353.5533905932737, 396.85026299204986, 445.44935907016963]",Tone,"[13.308224635178409, 12.413360172591144, 11.179917103400358, 10.0]",False,839.7014847999999,842.0398722999998,842.0398722999998,843.2694324000004,['space'],1,[0.3300910000002659],2.7900295299996287,3.7925667299987254,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,5,0,5,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.5413582000001,None,203.0630990890589,-3.0,0.00018367018267475058,1,"[0.6390662542218896, 0.6390662542218896, 0.6390662542218896, 0.6390662542218896]","[246.3129126751054, 441.78210489113997, 622.2770075387004, 259.040367866618]",None,"[13.899582780124295, 10.466518661113334, 8.241478389069105, 13.823623790394164]",False,844.5600145999997,847.5055908000004,847.5055908000004,848.7314945999997,['space'],1,[0.5117051000001993],3.5912925299999188,4.613346729999648,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,5,0,5,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.2229010000001,None,5722.635452604819,-4.166464244181022,7.80521195329361e-05,0,"[0.5652037024567401, 0.5483740722685583, 0.41831964059040705, 0.40481774957493327]","[1135.5146921869255, 1701.3496992011171, 2549.144294555047, 3819.4009365116426]",Perfect_5th,"[14.764429412170614, 15.0, 7.729781002044465, 7.297497051478493]",False,850.2282354999998,852.7800665000004,852.7800665000004,853.9967754999998,None,0,,2.986084629999823,4.009431429999495,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
