tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_late.rt,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_frequency,Audiogram_both,Audiogram_none,Audiogram_time,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,3,0,3,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.3020269999979,None,670.0412850649449,16.0,0.0003006721305049801,1,"[0.7174431678350854, 0.7174431678350854, 0.7174431678350854, 0.7174431678350854]","[265.9060601935544, 335.02064253247244, 422.09955967596767, 531.8121203871088]",Major_3rd,"[19.538121259105882, 25.999999999999996, 30.56888273247342, 28.0]",False,616.3037450999836,619.4812050000182,619.4812050000182,620.7031007999904,['space'],1,3.8948705666698515,4.92731236666441,None,1,,None,1,,[0.24051979999057949],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.2755461999914,None,615.5722066724584,18.0,0.0004242935302955497,1,"[0.6097116589033498, 0.6097116589033498, 0.6097116589033498, 0.6097116589033498]","[977.1599684342465, 870.5505632961246, 775.5723809168677, 690.9564399838883]",Tone,"[14.255459156384784, 15.699648179946783, 18.0, 21.0]",False,623.6666971999803,626.5292016000021,626.5292016000021,627.7522173000034,['space'],1,3.487190633371938,4.516247333376668,None,1,,None,1,,[0.29059790004976094],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.2357781999744,None,,,,,"[0.4968179398857788, 0.7862858039136705, 0.4773907569064548, 0.6108204245036142]","[326.33210198058424, 259.0099609874866, 205.57634227088923, 163.1660509902921]",Major_3rd,"[25.684115313435463, 19.0, 15.349362697800428, 15.593117235502163]",True,629.2295478000306,632.0290658000158,632.0290658000158,633.2419752000133,['space'],0,3.395970066660084,4.431406766641885,None,1,,None,1,,[0.3429492000141181],0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.697343399981,None,2215.9441728274683,11.568232151664295,0.0003015209223762081,0,"[0.7306134749719483, 0.7306134749719483, 0.7306134749719483, 0.7306134749719483]","[2550.7125113801103, 1163.2828812194757, 7526.1985797578, 1432.314902719841]",None,"[17.634980621918327, 14.273568653459192, 14.564248930231013, 16.129914452154452]",False,634.7153977000271,637.9435494000209,637.9435494000209,639.1723973000189,None,0,3.9414977666456252,4.968907166621648,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.7322558999876,None,250.0,17.0,0.0011856868528308277,0,"[0.5256551428611057, 0.5256551428611057, 0.5256551428611057, 0.5256551428611057]","[1050.636055823203, 217.18853252176208, 332.5932918178532, 1746.5704979666943]",None,"[14.089441365949824, 15.82279187518521, 25.999999999999996, 17.633147810913545]",False,641.7856264000293,644.3900708000292,644.3900708000292,645.6066498000291,None,0,3.1351401666761376,4.16247526666848,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.9910941999988,None,2793.089762137679,11.8692046814098,0.0002654196128185943,1,"[0.4154722243888785, 0.736104898249361, 0.7657008163884664, 0.750307631577258]","[7661.963572511768, 1258.203706202103, 776.2033786101543, 1251.7957197889605]",None,"[15.0, 15.0, 18.0, 15.0]",False,647.0049231000012,649.9600438000052,649.9600438000052,651.1915618000203,['space'],1,3.7087589667062275,4.743183466722257,None,1,,None,1,,[0.49387449998175725],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.795614600007,None,164.93848884661182,13.0,0.0017560715918764403,1,"[0.4195828464000582, 0.71241732532164, 0.6549821378957932, 0.4500202107592653]","[415.6189480713941, 329.8769776932237, 261.82353070515677, 207.809474035697]",Major_3rd,"[30.194537947803656, 25.684115313435463, 19.0, 15.349362697800428]",False,652.8264090000303,655.6265865000314,655.6265865000314,656.8422602000064,['space'],1,3.267743533302564,4.299979433300905,None,1,,None,1,,[0.6063330000033602],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.1802365999902,None,743.8544903256404,13.0,0.00018394627818995237,1,"[0.46076808638137595, 0.46076808638137595, 0.46076808638137595, 0.46076808638137595]","[468.5989652100483, 525.9845543253234, 590.3977002270952, 662.6990119140485]",Tone,"[30.282871582023972, 28.0, 25.0, 22.0]",False,658.1695684000151,660.582931699988,660.582931699988,661.7889500000165,['space'],1,2.893923766678199,3.926003066706471,None,1,,None,1,,[0.7835249000345357],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.1384860000107,None,125.0,15.0,0.004064152580820497,1,"[0.6566030958735485, 0.5422288161383121, 0.5281384196844618, 0.41485100398179936]","[2678.68932615344, 755.8260405318484, 395.6189818588456, 2621.712910718361]",None,"[17.634980621918327, 18.496205326765622, 30.0, 17.634980621918327]",False,663.1801695000031,665.9267434999929,665.9267434999929,667.1701729000197,['space'],1,3.1621008333167993,4.1929542333236896,None,1,,None,1,,[0.8808458999847062],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.4108478000271,None,4000.0,15.0,0.0004720304381429618,0,"[0.5188108421939255, 0.5188108421939255, 0.5188108421939255, 0.5188108421939255]","[793.7005259840998, 1189.2071150027211, 1781.7974362806788, 2669.679708340069]",Perfect_5th,"[17.0, 14.273568653459192, 17.633147810913545, 17.634980621918327]",False,668.5072760999901,671.0974068000214,671.0974068000214,672.3407309000031,None,0,3.078989633359015,4.114106633351184,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.6710582000087,None,,,,,"[0.7510998696982035, 0.73690805057062, 0.6984631319657808, 0.5870844292523172]","[2654.763744979522, 2361.918428550424, 320.8764683516446, 5827.372628098807]",None,"[17.634980621918327, 17.481046052572484, 25.0, 12.460225176586967]",True,673.6857744000154,676.895834600029,676.895834600029,678.1087788000004,None,1,3.809973766678013,4.832994566648267,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.5569321999792,None,565.0252050108597,21.0,0.0006878056353814055,1,"[0.5697373863008228, 0.5697373863008228, 0.5697373863008228, 0.5697373863008228]","[188.64332788415362, 1066.0735389414945, 441.3505235770934, 342.8224497749324]",None,"[15.196392041115487, 14.089441365949824, 30.56888273247342, 27.0]",False,679.572578500025,682.3101576999761,682.3101576999761,683.5366746999789,['space'],1,3.3020300667267293,4.31528406671714,None,1,,None,1,,[0.5413731999578886],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.9334035000065,None,571.559832801876,20.209190244689157,0.0006175077198266176,1,"[0.6530567505684357, 0.6530567505684357, 0.6530567505684357, 0.6530567505684357]","[2880.481058485911, 1922.49045802444, 1283.108441316313, 856.3721423455037]",Perfect_5th,"[17.869204681409798, 17.73603578707793, 15.0, 16.0]",False,684.9442785999854,687.9325906999875,687.9325906999875,689.1716821999871,['space'],1,3.6436544666648842,4.663239166722633,None,1,,None,1,,[0.37844860000768676],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.6505273000221,None,287.17458874925893,12.0,0.0005099738003808805,1,"[0.6502354573359782, 0.6502354573359782, 0.6502354573359782, 0.6502354573359782]","[455.8612442791087, 406.126198178118, 361.8173093600947, 322.342577109895]",Tone,"[30.282871582023972, 30.194537947803656, 28.0, 25.0]",False,692.1626051000203,695.147658700007,695.147658700007,696.358535700012,['space'],1,3.627164899953641,4.652930099982768,None,1,,None,1,,[0.5920254999655299],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.8629297000007,None,,,,,"[0.65237891866891, 0.65237891866891, 0.65237891866891, 0.65237891866891]","[1085.681756188971, 1367.8732981093178, 1723.4123618770543, 2171.3635123779413]",Major_3rd,"[14.089441365949824, 16.0, 17.633147810913545, 17.568232151664297]",True,697.8781804000027,700.8633987000212,700.8633987000212,702.0979895999772,None,1,3.631684666732326,4.653136466688011,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.5723601999925,None,2206.775238690814,11.568232151664295,0.00030075100746192337,0,"[0.4830765226177738, 0.77445067122067, 0.43823294809492225, 0.4710598066514456]","[875.7593338387935, 1103.3876193454073, 1390.18128780667, 1751.5186676775866]",Major_3rd,"[15.699648179946783, 14.089441365949824, 16.0, 17.633147810913545]",False,703.5905796000152,706.3109152999823,706.3109152999823,707.5396394000272,None,0,3.191792866680771,4.214279966661707,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.8525009999867,None,832.3664553063275,10.949800256527007,0.0001385957174474273,0,"[0.46067956742964933, 0.7785014488864671, 0.4994561523991363, 0.6327271422330729]","[215.05775816762423, 144.76475655986738, 468.5356544717998, 299.6120596551318]",None,"[15.82279187518521, 16.48237047555321, 30.282871582023972, 23.0]",False,708.8726268000319,711.6528416000074,711.6528416000074,712.8913260999834,None,0,3.4019594666315243,4.435140366666019,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,3,0,3,0,19,0,19,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.3579839000013,None,302.7433173652037,17.0,0.0007901098041899876,0,"[0.4836160052288198, 0.4836160052288198, 0.4836160052288198, 0.4836160052288198]","[1525.7307130536972, 1018.3030812576698, 679.6357682434423, 453.6024548854079]",Perfect_5th,"[16.799106454687937, 14.255459156384784, 21.0, 30.282871582023972]",False,714.3715016000206,716.8467493000207,716.8467493000207,718.0881474000053,None,0,2.9512087667244487,3.976259066723287,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.8106570999953,None,4000.0,14.0,0.0004206975708225976,0,"[0.7856567018543942, 0.5182827885005834, 0.713630976090768, 0.5956460061039477]","[2519.842099789746, 2828.4271247461897, 3174.802103936399, 3563.594872561357]",Tone,"[17.495035524627113, 17.869204681409798, 18.242212058307175, 18.0]",False,729.8211103000212,732.8735150999855,732.8735150999855,734.1131160000223,None,0,3.628299166681245,4.657960066688247,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.5365938000032,None,125.0,15.0,0.004064152580820497,1,"[0.49025197605140497, 0.49025197605140497, 0.49025197605140497, 0.49025197605140497]","[278.48929229485657, 170.5486358749231, 670.4661800682567, 270.1540891451827]",None,"[21.0, 15.593117235502163, 22.0, 19.538121259105882]",False,735.5518082000199,738.0514771000016,738.0514771000016,739.287233399984,['space'],1,2.9937662333250046,4.025602433306631,None,1,,None,1,,[0.4815478000091389],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.6277770000161,None,,,,,"[0.4303353804954061, 0.6211251740978307, 0.505429479183089, 0.6287536390424362]","[1844.0604289900914, 499.2953412485187, 311.7829055533726, 160.96196845420087]",None,"[17.73603578707793, 29.379301110301753, 24.0, 15.593117235502163]",True,740.6434239000082,743.2251897000242,743.2251897000242,744.454951599997,None,1,3.202456466620788,4.22067896660883,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.9039034000016,None,3031.4331330207992,16.0,0.0003646844836013305,1,"[0.7491873633382539, 0.6837088429157858, 0.6970097159094679, 0.4794479072973301]","[2190.883528839825, 179.01539472174144, 617.8089439107193, 185.0282505913992]",None,"[17.568232151664297, 15.301736209859286, 24.246310835369716, 15.196392041115487]",False,745.9137610000325,749.0626287999912,749.0626287999912,750.2967591999914,['space'],1,3.6422986332909204,4.675236133334693,None,1,,None,1,,[0.48031320003792644],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.6329302000231,None,1065.7138646305575,8.089441365949824,0.00011877575778195612,1,"[0.6357967615671067, 0.6621172539917191, 0.4973815884037791, 0.5550757030339031]","[422.9288274529107, 532.8569323152789, 671.3576656064274, 845.8576549058212]",Major_3rd,"[30.56888273247342, 28.0, 22.0, 16.0]",False,751.6465176999918,754.4549698000192,754.4549698000192,755.6678552000085,['space'],1,3.3815074666636065,4.403734566643834,None,1,,None,1,,[0.6599443000159226],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.0994716000278,None,189.4645708137998,10.0,0.0009607379603126595,0,"[0.6246905477754101, 0.6246905477754101, 0.6246905477754101, 0.6246905477754101]","[300.7562590205293, 267.9433656340734, 238.71040097760422, 212.666790237714]",Tone,"[23.0, 19.538121259105882, 17.0, 15.82279187518521]",False,757.1387720999774,760.0377599999774,760.0377599999774,761.2744569000206,None,0,3.5195419333758764,4.545103433367331,['space'],0,[-0.009773900033906102],None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.724349999975,None,,,,,"[0.735497101905017, 0.735497101905017, 0.735497101905017, 0.735497101905017]","[2428.9999834736886, 981.6337902132896, 4850.476029512134, 801.8488739598713]",None,"[17.495035524627113, 14.255459156384784, 14.0, 17.0]",True,762.745130299998,765.9931255999836,765.9931255999836,767.2233674000017,None,1,3.967928566620685,4.9921224666177295,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.7784689000109,None,2061.750567317371,11.68494805930083,0.0002924771427949126,0,"[0.45749359552531454, 0.45749359552531454, 0.45749359552531454, 0.45749359552531454]","[1298.8214696979262, 1457.8778072653245, 1636.4125097278134, 1836.810937548163]",Tone,"[15.401470255701224, 16.129914452154452, 17.32461680880577, 17.73603578707793]",False,768.7990239000064,771.2144400000107,771.2144400000107,772.426090300025,None,0,2.8586470666341484,3.8932751666288823,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.7402456999989,None,267.9433656340732,14.0,0.0007441295113766622,0,"[0.5742197359085952, 0.5365016862916532, 0.5586340488510486, 0.5680360233142097]","[425.3335804754277, 378.9291416275994, 337.5874865420474, 300.75625902052906]",Tone,"[30.56888273247342, 29.1779254713205, 25.999999999999996, 23.0]",False,773.7770202999818,776.4834308000281,776.4834308000281,777.7058576000272,None,0,3.2822341332794167,4.311604233284015,None,1,,None,1,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.1293785999878,None,7748.897550683497,9.0,0.0004901943368639922,0,"[0.7533135836118716, 0.7533135836118716, 0.7533135836118716, 0.7533135836118716]","[162.15589345110152, 2376.787158768767, 1296.7512476814504, 766.724983686257]",None,"[15.593117235502163, 17.481046052572484, 15.401470255701224, 18.0]",False,779.1424733999884,782.4171170999762,782.4171170999762,783.6396250000107,None,0,4.052667466690764,5.083168666693382,None,1,,['space'],0,[-4.234251099987887],,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,10,0,10,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.2757631000131,None,,,,,"[0.7924578390898716, 0.7924578390898716, 0.7924578390898716, 0.7924578390898716]","[161.8265973536218, 242.4659360418048, 363.288427872965, 544.3176224294673]",Perfect_5th,"[15.593117235502163, 17.0, 28.0, 27.9687080657157]",True,785.2703663000138,788.6712023,788.6712023,789.9104394000024,None,1,4.199382066668477,5.233620966668241,None,1,,None,1,,,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,4,0,4,0,11,0,11,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.5495068000164,None,676.6752109362938,16.0,0.0002970015559622189,1,"[0.5168981455905803, 0.5597245533697368, 0.7205279162443947, 0.72818456477003]","[134.2693677101345, 201.1767438478519, 301.4245390102439, 451.6265199433398]",Perfect_5th,"[16.957541303895, 15.349362697800428, 23.0, 30.282871582023972]",False,791.5609983999748,794.4059034999809,794.4059034999809,795.6248309999937,['space'],1,3.5571768666850403,4.592878166702576,None,1,,None,1,,[0.6801364999846555],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
