tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_time,Audiogram_none,Audiogram_both,Audiogram_frequency,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,3,0,3,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.9680137999821,None,,,,,"[0.749164660466409, 0.7028653592243383, 0.5491220054502954, 0.4731398982948673]","[783.7119958892504, 3462.5975676834983, 147.53180062711388, 465.4168022024059]",None,"[33.61213434736711, 43.11180246142274, 23.0, 32.0]",True,652.9793428999837,656.0189191000536,656.0189191000536,657.2230068000499,None,1,3.5227150401333347,4.548405240057036,None,1,None,1,,,0,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,3,0,3,0,10,0,10,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.5675447999965,None,164.93848884661182,16.0,0.0024805170545709183,1,"[0.7249338917869685, 0.7249338917869685, 0.7249338917869685, 0.7249338917869685]","[415.6189480713941, 329.8769776932237, 261.82353070515677, 207.809474035697]",Major_3rd,"[29.0, 24.33777877591176, 22.0, 21.51025092793338]",False,658.5770421000198,661.7670368000399,661.7670368000399,662.9900536000496,['space'],1,3.9233361402293667,4.933624540222809,None,1,None,1,,[0.28424189996439964],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,3,0,3,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.5629266999895,None,757.8582832551998,26.0,0.0008037758069913915,0,"[0.760914853343913, 0.760914853343913, 0.760914853343913, 0.760914853343913]","[584.4380121146405, 5920.191550568554, 1332.681894347924, 5619.614348580361]",None,"[35.20901132748202, 39.0, 42.41586704910984, 37.95896922020435]",False,664.5896177999675,667.9008893000428,667.9008893000428,669.1022639999865,None,0,4.071848640218377,5.088357440195978,None,1,None,1,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,3,0,3,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.7231485999655,None,1576.828656119742,37.51466302373089,0.004115839584218706,1,"[0.4739961952025811, 0.453615353702096, 0.6096314079183431, 0.5268886979193926]","[7946.718463690828, 5303.798257601692, 3539.8606463621627, 2362.5735344861564]",Perfect_5th,"[44.865571088928796, 37.363495548070134, 43.0, 43.00000000000001]",False,670.7204769999953,673.2986631999956,673.2986631999956,674.500860500033,['space'],1,3.088120540138334,4.109475540113635,None,1,None,1,,[0.5080914000282064],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,3,0,3,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.8738425000338,None,1841.640158668079,37.095439700475254,0.004842979233913414,0,"[0.4536779709533895, 0.4536779709533895, 0.4536779709533895, 0.4536779709533895]","[340.89743259075186, 7543.250245221472, 203.51950867031502, 130.359034784271]",None,"[25.0, 44.0, 21.51025092793338, 24.0]",False,675.8880306000356,678.2731692000525,678.2731692000525,679.4766666999785,None,0,2.8377546401461586,3.859179140185006,None,1,None,1,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,3,0,3,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.7955685000634,None,,,,,"[0.6185692176082512, 0.6185692176082512, 0.6185692176082512, 0.6185692176082512]","[247.97665886870124, 278.34438844667704, 312.4310123912769, 350.6919541240838]",Tone,"[21.633804144956393, 22.622938488500367, 23.385027500518813, 25.508643194256045]",True,680.7953774000052,683.684861100046,683.684861100046,684.908984699985,None,1,3.5224949402036145,4.556521440274082,None,1,None,1,,,0,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,3,0,3,0,15,0,15,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.3853453999618,None,2828.42712474619,39.0,0.005836442887393175,0,"[0.7750024862874156, 0.4754060382220325, 0.43467045230616125, 0.5897042362654117]","[561.2310241546866, 840.8964152537146, 1259.9210498948732, 1887.748625363387]",Perfect_5th,"[35.0, 33.45210865578541, 42.0, 43.095439700475254]",False,686.4786127000116,689.1955325000454,689.1955325000454,690.4176821999718,None,0,3.32431942014955,4.340237220167182,None,1,None,1,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,3,0,3,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.8444583000382,None,1296.8763286810372,36.0,0.0033658696535910915,1,"[0.4483016952892286, 0.7195765727278304, 0.6399034945708921, 0.7162730264815083]","[816.9808928078104, 917.0300463706751, 1029.3314242104673, 1155.3854588084853]",Tone,"[33.45210865578541, 34.80359918411726, 37.0, 39.71067816702312]",False,691.8366182000609,694.6882998000365,694.6882998000365,695.905808200012,['space'],1,3.5487895401893184,4.5738993402337655,None,1,None,1,,[0.4519559999462217],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,3,0,3,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.455239700037,None,535.8867312681471,26.0,0.0013138074973436601,1,"[0.7876033603429213, 0.7876033603429213, 0.7876033603429213, 0.7876033603429213]","[162.71853453480253, 5457.009333053742, 4228.163055033519, 457.76857235705245]",None,"[22.427865668147323, 37.363495548070134, 39.323092750822866, 32.0]",False,697.4691547000548,700.8612506999634,700.8612506999634,702.0912647000514,['space'],1,4.1631489403080195,5.176626640255563,None,1,None,1,,[0.508722500060685],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,3,0,3,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.6929547999753,None,,,,,"[0.5512151908875746, 0.7494306447015058, 0.45431763363395783, 0.4451870242401692]","[154.51573851701207, 4442.330902347193, 695.4530986817637, 565.1289037063997]",None,"[22.78182025365567, 39.0, 34.14547453139008, 35.0]",True,703.7111388000194,706.4915228000609,706.4915228000609,707.7180015000049,None,1,3.2361111401114613,4.25794204021804,None,1,None,1,,,0,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,3,0,3,0,19,0,19,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.0017331000417,None,589.8488158777599,29.20901132748202,0.0016579679961199667,1,"[0.6028567141895492, 0.6028567141895492, 0.6028567141895492, 0.6028567141895492]","[371.58146968997744, 417.0860975820193, 468.1633154132764, 525.4955539620933]",Tone,"[26.91762810907877, 29.0, 32.03875527686212, 34.65065241278761]",False,709.0226385999704,711.862620400032,711.862620400032,713.0774798999773,['space'],1,3.4545554399956018,4.478911740006879,None,1,None,1,,[0.3725510999793187],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.10565459996,None,125.0,18.0,0.005740768107484416,1,"[0.7065846088338124, 0.5374660616257813, 0.6127096903621881, 0.6133390174774441]","[314.9802624737183, 250.00000000000003, 198.42513149602496, 157.49013123685916]",Major_3rd,"[24.0, 21.633804144956393, 21.51025092793338, 22.78182025365567]",False,719.1104800000321,721.9881217000075,721.9881217000075,723.195797399967,['space'],1,3.483827100135386,4.498609200119972,None,1,None,1,,[0.27924330008681864],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.651600799989,None,353.5533905932738,19.0,0.0007897582242723967,1,"[0.7451334095399399, 0.7451334095399399, 0.7451334095399399, 0.7451334095399399]","[140.30775603867167, 176.77669529663694, 222.72467953508487, 280.6155120773433]",Major_3rd,"[23.165536251453887, 22.08165514605822, 21.381870299461333, 22.622938488500367]",False,724.6626133000245,727.9383234999841,727.9383234999841,729.1523980000056,['space'],1,4.0139676401158795,5.017298240214586,None,1,None,1,,[0.2816741999704391],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.7288839999819,None,2679.2283737537623,37.605416509454585,0.00567448344573741,0,"[0.7743935601381509, 0.7743935601381509, 0.7743935601381509, 0.7743935601381509]","[1687.8081127839866, 1894.5005514286909, 2126.504969479885, 2386.9211237824525]",Tone,"[43.33907123251382, 43.095439700475254, 42.843714326279006, 43.00000000000001]",False,730.7276465999894,734.0942856000038,734.0942856000038,735.3090208000503,None,0,4.139513140078634,5.156215540133417,None,1,None,1,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.9304530000081,None,,,,,"[0.5405793952123854, 0.5405793952123854, 0.5405793952123854, 0.5405793952123854]","[175.62324529828325, 129.93452374827382, 498.50631994269975, 6975.312301452078]",None,"[22.08165514605822, 24.0, 33.55222024559278, 42.350517293622175]",True,736.9366511000553,739.5751233999617,739.5751233999617,740.804540000041,None,1,3.208458840032108,4.238699840032496,None,1,None,1,,,0,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.2072856000159,None,246.7485122438837,15.633804144956391,0.001051652846321961,1,"[0.5489196147453745, 0.6358769338937104, 0.4606456339759044, 0.45682363616939253]","[155.44182230315593, 174.477546255342, 195.84442395376456, 219.8279332611118]",Tone,"[22.78182025365567, 22.08165514605822, 21.75926950267614, 21.381870299461333]",False,742.202356099966,744.8746137999697,744.8746137999697,746.1037442999659,['space'],1,3.1449232400627807,4.176730840117671,None,1,None,1,,[0.41642849997151643],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,5,0,5,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.4192975000478,None,2828.42712474619,40.0,0.006548596627134577,1,"[0.601647605941928, 0.6096353885475146, 0.5394664451947984, 0.5372920651516535]","[1266.1685873846668, 203.2313104971395, 1622.4122586989456, 6915.577620425962]",None,"[42.0, 21.51025092793338, 43.51466302373089, 42.350517293622175]",False,747.4488619000185,750.2185307999607,750.2185307999607,751.4339149000589,['space'],1,3.3216924401931465,4.330772240180522,None,1,None,1,,[0.41837079997640103],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.8360023000278,None,1515.7165665103996,41.0,0.005568608891974556,1,"[0.5924985098225342, 0.5924985098225342, 0.5924985098225342, 0.5924985098225342]","[7638.7328312833415, 5098.2425092770545, 3402.6686438034267, 2271.008858141757]",Perfect_5th,"[44.0, 37.44107461450291, 43.11180246142274, 42.965464858798846]",False,752.8528142999858,755.6667386000045,755.6667386000045,756.8864280000562,['space'],1,3.3923951401375234,4.418287740088999,None,1,None,1,,[0.29689400002826005],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.3183169000549,None,2067.598142137798,36.90010724484241,0.005340577657167967,0,"[0.47415088399647254, 0.47415088399647254, 0.47415088399647254, 0.47415088399647254]","[568.310645100386, 228.16179949539273, 570.3346876967445, 2021.0313561193248]",None,"[35.20901132748202, 21.415962982174147, 35.20901132748202, 42.90010724484241]",False,758.3317998000421,760.765733200009,760.765733200009,761.9837424999569,None,0,2.9326044402550906,3.96290154021699,None,1,None,1,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.3430481000105,None,,,,,"[0.7864590066165835, 0.7251895058102288, 0.4206810202106582, 0.5049273053014007]","[1965.2549201782756, 1750.8430892058204, 1559.823863838337, 1389.6450808182856]",Tone,"[42.90010724484241, 43.33907123251382, 43.49534248380189, 43.0]",True,763.3430842000525,766.3106553000398,766.3106553000398,767.5258907000534,None,1,3.4649667401099578,4.487084240070544,None,1,None,1,,,0,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.8614400000079,None,2829.9288955800757,37.91363634999545,0.005142931023194375,1,"[0.5792460170228007, 0.4300462580125286, 0.700667432905372, 0.5932006777611467]","[2859.448728077107, 531.1891745329086, 293.87696205667817, 258.5007696179261]",None,"[43.91363634999545, 34.65065241278761, 23.0, 22.0]",False,768.8544372000033,771.5978397000581,771.5978397000581,772.8079416999826,['space'],1,3.3527999402722344,4.370004840195179,None,1,None,1,,[0.3476029000012204],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.2665741000092,None,8000.0,33.0,0.008109050486794653,0,"[0.6751011739077317, 0.6751011739077317, 0.6751011739077317, 0.6751011739077317]","[140.34288279678748, 3616.292340256024, 1044.9979721008242, 6254.905605947554]",None,"[23.165536251453887, 43.0, 37.0, 40.0]",False,774.3056118000532,777.3560179000488,777.3560179000488,778.5713125000475,None,0,3.7273955401033163,4.7474191401852295,None,1,None,1,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.1093607000075,None,7964.768808020229,38.865571088928796,0.015837483895900423,0,"[0.5439949526218304, 0.5439949526218304, 0.5439949526218304, 0.5439949526218304]","[3160.8205961337044, 3982.3844040101153, 5017.489939385393, 6321.641192267407]",Major_3rd,"[43.7732142657211, 40.70748826461904, 37.44107461450291, 40.0]",False,780.1258638000581,782.7868838000577,782.7868838000577,783.9931605999591,None,0,3.2155909400898963,4.2395963401068,None,1,None,1,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,12,0,12,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.4151726999553,None,,,,,"[0.6403666103714794, 0.6403666103714794, 0.6403666103714794, 0.6403666103714794]","[1563.087007658707, 128.56812625126838, 866.4769264855773, 633.483777606869]",None,"[43.49534248380189, 24.0, 33.83510414802811, 35.0]",True,785.409478800022,788.3403772000456,788.3403772000456,789.5626799999736,None,1,3.602238440187648,4.629351840238087,None,1,None,1,,,0,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.0709015000612,None,378.9291416275994,25.0,0.001458625812546175,1,"[0.49955469341140996, 0.7031019186052375, 0.4641338318810354, 0.48903818072035504]","[238.71040097760402, 267.9433656340732, 300.75625902052906, 337.5874865420474]",Tone,"[21.415962982174147, 22.041006007444324, 23.0, 25.0]",False,791.0785201999824,793.7757857999532,793.7757857999532,795.0031105000526,['space'],1,3.164130440214649,4.183669640216976,None,1,None,1,,[0.3592872000299394],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,14,0,14,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.31072519999,None,134.00782552113247,17.609039372773694,0.004879124639167304,1,"[0.5872546525663523, 0.4141884996594241, 0.7680445266221951, 0.6645453895267133]","[675.3571208988568, 450.74680038666213, 300.83739664787083, 200.78487333516836]",Perfect_5th,"[34.77164448763786, 31.0, 23.0, 21.51025092793338]",False,796.3037112000166,799.1000651000068,799.1000651000068,800.3243539000396,['space'],1,3.458628340042196,4.474046440096572,None,1,None,1,,[0.2973152999766171],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.8179308000254,None,125.0,17.0,0.005116464961403773,1,"[0.410057021321335, 0.6960894839258406, 0.5969677488013982, 0.605658985015129]","[1666.3171208621216, 4370.710829501724, 3358.5624000933785, 136.65172665069858]",None,"[43.51466302373089, 39.0, 43.7732142657211, 23.609039372773694]",False,801.8259111000225,804.554733500001,804.554733500001,805.7833667000523,['space'],1,3.319001540192403,4.356713640154339,None,1,None,1,,[0.40491050004493445],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.2349154000403,None,4897.002171844656,31.44107461450291,0.005437404686945225,1,"[0.5171368699799135, 0.5171368699799135, 0.5171368699799135, 0.5171368699799135]","[3011.9711529045076, 1889.8325241116156, 7574.802464488457, 935.207549640643]",None,"[44.0, 43.095439700475254, 44.0, 34.80359918411726]",False,807.249158199993,809.8215196999954,809.8215196999954,811.0482569000451,['space'],1,3.1073863400379196,4.128313240129501,None,1,None,1,,[0.3670038999989629],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811.4663755999645,None,5656.85424949238,35.0,0.007227417995191065,1,"[0.676364201259347, 0.676364201259347, 0.676364201259347, 0.676364201259347]","[1122.4620483093731, 1681.7928305074292, 2519.8420997897465, 3775.497250726774]",Perfect_5th,"[39.0, 43.51466302373089, 43.24799782389515, 42.0]",False,812.4341667999979,815.4894386000233,815.4894386000233,816.6906893999549,['space'],1,3.729333740193397,4.755654340144247,None,1,None,1,,[0.3063574000261724],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,4,0,4,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.2352915999945,None,631.8717016315921,29.0,0.0014373898109528117,1,"[0.6891287529248132, 0.5497539862679826, 0.5274825759379059, 0.7533164124907752]","[622.0678342324816, 287.53325586690084, 4800.865550372495, 6421.169910094735]",None,"[35.20851958385715, 22.622938488500367, 37.44107461450291, 40.69382397237325]",False,818.2475874000229,821.0247962999856,821.0247962999856,822.2251916000387,['space'],1,3.5544629400828853,4.5962688400177285,None,1,None,1,,[0.3127947000321001],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
