tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,answer_too_late.rt,Audiogram_none,Audiogram_time,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.1406692999881,None,,,,,"[0.665363204502688, 0.665363204502688, 0.665363204502688, 0.665363204502688]","[2099.635911102274, 2645.3754815129555, 3332.9642540339582, 4199.271822204547]",Major_3rd,"[4.0, 9.67595133734369, 7.0, 0.0]",True,544.1558518999955,547.1719351999927,547.1719351999927,548.3891996999737,None,1,3.7072982667014003,4.729465066688135,None,1,None,1,,,0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,2,0,2,0,18,0,18,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.9204308000626,None,574.3491774985172,0.0,5.984619860562044e-05,1,"[0.6864595772742907, 0.6864595772742907, 0.6864595772742907, 0.6864595772742907]","[1447.2692374403773, 1148.6983549970344, 911.7224885582164, 723.6346187201887]",Major_3rd,"[-2.0, 5.699398071375852, 13.000626279128747, 11.0]",False,549.9331817999482,553.032281700056,553.032281700056,554.2726151000243,['space'],1,3.756085866712965,4.781052966718562,None,1,None,1,,[0.2008184000151232],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,2,0,2,0,19,0,19,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.7642010999843,None,4924.577653379667,-13.0,3.303379824708078e-05,1,"[0.5379104878198729, 0.5379104878198729, 0.5379104878198729, 0.5379104878198729]","[138.42424367136212, 282.49237568025694, 181.2637139383883, 1471.8975223263892]",None,"[9.701383027368967, 8.0, 10.41839078124893, -2.0]",False,555.804501799983,558.4329274999909,558.4329274999909,559.6712435999652,['space'],1,3.167230333434418,4.19891443348024,None,1,None,1,,[0.003817399963736534],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.7111033999827,None,4571.840936632223,-8.382390716164998,4.6967230244966254e-05,1,"[0.544305480115679, 0.6981230598109127, 0.7214995005359963, 0.6355343102045228]","[1814.3362780603177, 2285.920468316112, 2880.079316417016, 3628.672556120635]",Major_3rd,"[0.0, 6.990211164607461, 9.878919472691907, 4.0]",False,566.7052102000453,569.7087308999617,569.7087308999617,570.9226823999779,['space'],1,3.6434088667156175,4.6632976667024195,None,1,None,1,,[0.2277640999527648],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,1,0,1,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.4108283000533,None,,,,,"[0.4103237774266527, 0.42879422598421846, 0.45795756763645024, 0.4647954247411019]","[296.57224094769174, 264.2158292963064, 235.3895436324661, 209.7082426858035]",Tone,"[7.0, 9.0, 10.0, 10.567047562418644]",True,572.4386982000433,574.7550882999785,574.7550882999785,575.984847499989,None,1,2.777986566768959,3.8119325666921213,None,1,None,1,,,0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.2857042000396,None,287.17458874925893,-6.0,6.420189766487367e-05,1,"[0.7661549750772151, 0.6107507111520902, 0.546798158436724, 0.7315946201373844]","[168.61489924737808, 6985.690056930281, 4407.716659674153, 3171.57305369265]",None,"[10.245471099602025, -6.3705667153290815, -2.0, 8.0]",False,577.3066139000002,580.2595773000503,580.2595773000503,581.496211700025,['space'],1,3.6849356333259493,4.710389633313753,None,1,None,1,,[0.4653646000660956],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.0569134999532,None,915.1705356579644,7.000626279128747,9.323027977851038e-05,1,"[0.6365097649843678, 0.6365097649843678, 0.6365097649843678, 0.6365097649843678]","[1324.7609671804491, 1419.0818885741817, 655.3026043579753, 589.383657015873]",None,"[0.0, -1.7074087051123037, 7.672047411979337, 4.0]",False,583.0481916000135,585.9730499000289,585.9730499000289,587.1901100999676,['space'],1,3.562323866644874,4.580528266727924,None,1,None,1,,[0.3196971999714151],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.6767920999555,None,2060.510116691257,-2.0,6.049057900783936e-05,1,"[0.766096061568576, 0.766096061568576, 0.766096061568576, 0.766096061568576]","[3270.8559268268186, 2914.001352431744, 2596.080069540656, 2312.8444061434534]",Tone,"[7.715417315930713, 9.878919472691907, 9.67595133734369, 7.0]",False,588.6933268000139,592.0319770999486,592.0319770999486,593.2589552999707,['space'],1,4.08543356670998,5.116702966624871,None,1,None,1,,[0.5169254000065848],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.8550198000157,None,,,,,"[0.42772378982970105, 0.42772378982970105, 0.42772378982970105, 0.42772378982970105]","[152.343796588231, 171.00012996565223, 191.941156142415, 215.44666327848432]",Tone,"[10.062230116357714, 10.41839078124893, 10.543619371000801, 10.432425410968461]",True,594.8565832000459,597.1538253000472,597.1538253000472,598.3714429000393,None,1,2.741049366770312,3.7546103667700663,None,1,None,1,,,0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,6,0,6,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.6543237000005,None,189.4645708137998,2.0,0.0003824766710234111,0,"[0.7628708846009917, 0.4610529932612915, 0.4021615572378768, 0.664422427716924]","[477.4208019552084, 378.9291416275996, 300.7562590205292, 238.7104009776042]",Major_3rd,"[1.5121754791380786, 3.5416604876652187, 7.0, 10.0]",False,599.6793834000127,602.3465445999755,602.3465445999755,603.5613656999776,None,0,3.3066035667434335,4.337274766759947,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.0695389000466,None,267.9433656340732,0.0,0.00014847335715060603,1,"[0.7763854735802975, 0.7763854735802975, 0.7763854735802975, 0.7763854735802975]","[305.32323153460584, 1077.3000509484534, 671.7696050677681, 5314.8540697957105]",None,"[7.0, 8.709070939796105, 8.0, -3.5611283207333813]",False,605.0985597999534,608.4457675999729,608.4457675999729,609.6678122000303,['space'],1,4.109791966737248,5.141916966764256,None,1,None,1,,[0.07489130005706102],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.287881199969,None,282.685572040996,2.0,0.00016725495292814498,1,"[0.6718768872759404, 0.6926431526659791, 0.6639396492523189, 0.6593852518771777]","[448.73537443410936, 399.7777698675732, 356.16150271602453, 317.3038262206432]",Tone,"[1.8810953384182945, 3.0, 4.607193576852355, 6.0]",False,611.3000989999855,614.3442641999573,614.3442641999573,615.5807252000086,['space'],1,3.704776866710745,4.717001566663384,None,1,None,1,,[0.24214680003933609],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.0677965000505,None,125.0,-3.0,0.0005116464961403772,1,"[0.49348355228542884, 0.49348355228542884, 0.49348355228542884, 0.49348355228542884]","[629.9605249474366, 420.4482076268573, 280.6155120773433, 187.2883846095852]",Perfect_5th,"[6.0, 2.0, 8.0, 10.543619371000801]",False,617.0991134999786,619.5818612000439,619.5818612000439,620.811337799998,['space'],1,2.995062033412978,4.023834433406591,None,1,None,1,,[0.47750010003801435],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.1671274000546,None,441.94461569663537,-4.1189046615817055,4.631191313390515e-05,0,"[0.7711609002153397, 0.7711609002153397, 0.7711609002153397, 0.7711609002153397]","[7350.761922869356, 5601.872885152987, 1607.1965270294243, 320.45561838123007]",None,"[-7.8538551942580295, -3.8431547423451313, -2.3652269246217106, 6.0]",False,622.1880551000359,625.5202778000385,625.5202778000385,626.7359150999691,None,0,4.108397766714916,5.13272346672602,None,1,['space'],0,[0.5443141999421641],,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.3692424000474,None,8000.0,-8.0,7.22719885372964e-05,0,"[0.7685946615151941, 0.7685946615151941, 0.7685946615151941, 0.7685946615151941]","[201.68635846217572, 7603.1885545335645, 501.76504110749795, 2234.8545172986264]",None,"[10.567047562418644, -8.0, 1.6183389177672183, 6.0]",False,629.4413320999593,632.7581793999998,632.7581793999998,633.98027369997,None,0,4.09240066667553,5.116545966709964,None,1,['space'],0,[0.6819813000038266],,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.5986504000612,None,,,,,"[0.5308992772094026, 0.40742942478989574, 0.5872580489042563, 0.4393951845224117]","[5517.30257288314, 756.3735914691615, 1404.5710626513667, 6877.6354777706365]",None,"[-3.8431547423451313, 11.950290616201528, -1.7074087051123037, -6.0]",True,635.5969230999472,638.137663200032,638.137663200032,639.3826436999952,['space'],0,2.9852889666799456,4.002368766698055,None,1,None,1,,[0.5396573999896646],0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.6493048999691,None,257.27485474944757,3.0,0.00022568913715882675,0,"[0.4426023062437716, 0.4426023062437716, 0.4426023062437716, 0.4426023062437716]","[428.23429601335334, 5347.757027258689, 214.7928101070841, 409.32948812984307]",None,"[2.0, -3.5611283207333813, 10.432425410968461, 2.5993568148196537]",False,640.6552771000424,643.0102722999873,643.0102722999873,644.2205396000063,None,0,2.792928766575642,3.8009685666766018,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.4999994999962,None,942.049519258688,7.0,9.49338295863338e-05,1,"[0.5621610893510449, 0.5621610893510449, 0.5621610893510449, 0.5621610893510449]","[186.92629973467223, 280.07299774683116, 419.635354566144, 628.742621454109]",Perfect_5th,"[10.543619371000801, 8.0, 2.0, 6.0]",False,645.5144042000175,648.2445143000223,648.2445143000223,649.4697093999712,['space'],1,3.2878352666739374,4.303620266611688,None,1,['space'],0,[-3.7482652000617236],[0.2856493000872433],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.8604759000009,None,1090.9195178282002,2.0,6.024631064751911e-05,1,"[0.5921474888561112, 0.6552947950755985, 0.7498154266138561, 0.40672722067638145]","[3848.0242780910053, 1263.2595026090105, 4123.194042615789, 153.5912110144367]",None,"[2.0, 2.0, 0.0, 10.062230116357714]",False,650.8701377999969,653.9170506000519,653.9170506000519,655.1472662000451,['space'],1,3.431700966670178,4.464598666760139,None,1,None,1,,[0.4185965000651777],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.381367300055,None,,,,,"[0.4522922545132617, 0.4522922545132617, 0.4522922545132617, 0.4522922545132617]","[176.78144093328763, 702.1968757475465, 4064.3016510101406, 399.7662148450007]",None,"[10.41839078124893, 9.95723379361977, 0.9066411805858392, 3.0]",True,656.3899281000486,658.7525621999521,658.7525621999521,659.977049899986,None,1,2.8444774666568264,3.8780332666356117,None,1,None,1,,,0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.3079650000436,None,176.7766952966369,-4.0,0.00022084830614773677,1,"[0.44791002249005435, 0.509901405806592, 0.7706901953751732, 0.5914604073517644]","[738.6700256208866, 126.51641365593075, 1083.1475378264222, 1316.683389892145]",None,"[11.0, 9.490574947021436, 8.0, 0.10081202206185047]",False,661.3896015000064,664.1530514999758,664.1530514999758,665.373738400056,['space'],1,3.354688600054942,4.387026699958369,None,1,None,1,,[0.21540600003208965],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.8176585000474,None,716.7187459548018,4.0,6.903802477622267e-05,1,"[0.77419112902929, 0.5653267383009454, 0.5491877595138742, 0.4125403300851978]","[1999.9474358732004, 1953.391185299601, 238.2193904805903, 2729.2069687197945]",None,"[2.620414932981827, 2.0, 10.0, 9.67595133734369]",False,666.8259897000389,669.7536953999661,669.7536953999661,670.9898877999512,['space'],1,3.345277366694063,4.3667227666592225,None,1,None,1,,[0.39044320001266897],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,3,0,3,0,19,0,19,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.2362262000097,None,1741.101126592249,-8.0,2.5129199307695022e-05,1,"[0.5148672301090551, 0.4941414310254184, 0.5689593525508782, 0.7222838428396907]","[7260.113160824353, 128.42431767067413, 151.70482675338866, 7971.000252720595]",None,"[-7.0, 9.490574947021436, 10.0, -9.323229806476323]",False,673.1431058000308,675.7456669999519,675.7456669999519,676.9800335000036,['space'],1,3.3133766000391915,4.346831200062297,None,1,None,1,,[0.10522960009984672],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,4,0,4,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.8167420000536,None,1624.5047927124701,-13.0,1.2952570741327918e-05,0,"[0.7906401134945436, 0.7906401134945436, 0.7906401134945436, 0.7906401134945436]","[2859.839824140309, 766.1923972119567, 1203.2207189565393, 390.1412793665223]",None,"[9.878919472691907, 12.0, 4.0, 3.0]",False,705.7915927000577,709.1751383000519,709.1751383000519,710.4008268000325,None,0,4.18875246681273,5.2246004667831585,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,4,0,4,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.0680681000231,None,678.1197861783149,3.0,6.631142773078029e-05,1,"[0.6746784153250311, 0.6746784153250311, 0.6746784153250311, 0.6746784153250311]","[294.96327476237656, 562.9393102519375, 520.9984850070183, 298.4810880496633]",None,"[7.863398994928131, 3.0, 2.0, 7.0]",False,712.0883800999727,715.138407099992,715.138407099992,716.363311400055,['space'],1,3.726631566765718,4.7420144667848945,None,1,None,1,,[0.3777045999886468],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,4,0,4,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.8772389000515,None,176.7766952966369,-6.0,0.0001754260451641794,1,"[0.7682080363868088, 0.7682080363868088, 0.7682080363868088, 0.7682080363868088]","[4645.376092985111, 473.84050317271596, 438.1726980579552, 684.11698478202]",None,"[-2.3823907161649984, 1.5121754791380786, 1.8810953384182945, 9.0]",False,718.8471856999677,722.1697878000559,722.1697878000559,723.3998423999874,['space'],1,4.114517166628502,5.135927566676401,None,1,None,1,,[0.14064640004653484],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,4,0,4,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.021706199972,None,,,,,"[0.7285613916658646, 0.7285613916658646, 0.7285613916658646, 0.7285613916658646]","[1046.572269057454, 449.0126784575488, 287.94059680249524, 188.78911103568007]",None,"[10.0, 1.8810953384182945, 7.863398994928131, 10.543619371000801]",True,725.0331331000198,728.2362434000243,728.2362434000243,729.4705625999486,['space'],0,3.9409725667210296,4.961515666684136,None,1,None,1,,[0.37266340001951903],0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,4,0,4,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.0332633999642,None,189.4645708137998,-7.0,0.00013570784394859175,0,"[0.5876606143672833, 0.5876606143672833, 0.5876606143672833, 0.5876606143672833]","[954.8416039104168, 637.2803136596312, 425.333580475428, 283.8761072677194]",Perfect_5th,"[12.0, 7.0, 2.0, 8.0]",False,731.0647987000411,733.8546033999883,733.8546033999883,735.0830184000079,None,0,3.3787154332967475,4.396862433291972,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,4,0,4,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.5055930999806,None,901.6746810150997,7.688050401699729,9.997909056440542e-05,1,"[0.49650274774499153, 0.49650274774499153, 0.49650274774499153, 0.49650274774499153]","[562.4691264095854, 420.83706159864573, 217.3866037832509, 216.60400041993012]",None,"[3.0, 2.0, 10.432425410968461, 10.432425410968461]",False,736.5016646999866,739.0134971999796,739.0134971999796,740.2398151999805,['space'],1,3.0122353666229174,4.028988766716793,None,1,None,1,,[0.43676750001031905],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,4,0,4,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.5770333999535,None,5278.031643091578,-18.0,1.7938839979700792e-05,0,"[0.5113168100341221, 0.5113168100341221, 0.5113168100341221, 0.5113168100341221]","[779.1843659590481, 771.9959145416184, 4712.683512925048, 2041.8313278469284]",None,"[12.0, 12.0, -2.3823907161649984, 3.0]",False,742.6722482000478,745.2369054000592,745.2369054000592,746.4608623000095,None,0,3.065612999955192,4.083838299964555,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
