tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,API_start,API_stop,API_duration,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_frequency,Audiogram_none,Audiogram_time,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,18,0,18,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.33159950003028,None,1650620247.0174468,1650620248.145567,1.1281201839447021,4594.793419988137,0.0,0.00012486547057085194,1,"[0.796979597677353, 0.796979597677353, 0.796979597677353, 0.796979597677353]","[7293.779908465733, 6498.019170849882, 5789.07694976151, 5157.481233758314]",Tone,"[-1.9224556041955818, -1.090804645452339, -1.099175111788238, -1.3539693998841358]",False,147.4788953999523,150.90277289994992,150.90277289994992,None,['space'],1,4.226907060248777,None,None,1,,[0.24856829992495477],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.96857629995793,None,1650620253.6302652,1650620255.2648797,1.6346144676208496,500.0,0.0,7.144469792555515e-05,0,"[0.4719259007318001, 0.41335091966078413, 0.6078188993104314, 0.6426353439741121]","[1259.9210498948732, 1000.0000000000001, 793.7005259840998, 629.9605249474366]",Major_3rd,"[5.652799643408654, 3.314424444196705, 3.2260249263326117, 7.0]",False,154.59744010004215,157.1329340999946,157.1329340999946,158.3400220000185,None,0,3.182182620279491,4.195752520347014,['space'],0,[-1.1136645001824945],,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0057206999045,None,1650620270.6930954,1650620271.8530517,1.1599562168121338,203.0630990890589,8.0,0.0006516864001597818,1,"[0.5538063174972905, 0.5538063174972905, 0.5538063174972905, 0.5538063174972905]","[543.9740924348706, 2996.173646243113, 3510.6540406728454, 2620.4757807789415]",None,"[8.89347349739519, -0.41565361304880266, -1.0852869259872637, 0.0]",False,171.18617890006863,173.86396099999547,173.86396099999547,None,['space'],1,3.233443279983476,None,None,1,,[0.4087909997906536],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.84720789990388,None,1650620276.534661,1650620277.7005072,1.1658461093902588,189.4645708137998,8.0,0.0007631412880477617,1,"[0.4571089793611351, 0.5574767333153682, 0.4874382348120923, 0.5629352345851268]","[794.807157588275, 190.42865941561226, 989.7802161723691, 1044.71009973806]",None,"[3.2260249263326117, 8.2776971649791, 3.314424444196705, 4.0]",False,177.03245649999008,179.5652036999818,179.5652036999818,None,['space'],1,3.088562880177051,None,None,1,,[0.3512868999969214],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.52091399999335,None,,,,2095.1329033031097,-1.0,6.855557460638444e-05,1,"[0.5577281853278458, 0.6029021396024001, 0.5510430328581898, 0.789700008085348]","[5279.404094397895, 4190.2658066062195, 3325.816174716544, 2639.7020471989476]",Major_3rd,"[-1.3539693998841358, -1.8708373282903583, -0.7195967390694644, -0.03000906409819315]",False,181.53116089990363,184.2849413000513,184.2849413000513,None,['space'],1,3.5180767602287233,None,None,1,,[0.3737230999395251],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.46631869999692,None,,,,234.39524396413728,7.0,0.0004433908158451775,1,"[0.5280672017144563, 0.5280672017144563, 0.5280672017144563, 0.5280672017144563]","[620.5090403678387, 2361.683845678143, 4399.595515200085, 977.3746893776894]",None,"[7.334255130632958, 0.3938950762819644, -1.8708373282903583, 3.314424444196705]",False,186.46850050007924,189.09082260006107,189.09082260006107,None,['space'],1,3.150336960097775,None,None,1,,[0.06318819988518953],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.69816539995372,None,1650620291.380083,1650620293.4926372,2.1125540733337402,125.0,-1.0,0.000644124775846567,1,"[0.6760664236780047, 0.6760664236780047, 0.6760664236780047, 0.6760664236780047]","[597.05957326817, 211.11464304149692, 4527.352892175507, 977.4759453922082]",None,"[8.0, 9.25797861941169, -1.825371943492379, 3.314424444196705]",False,192.82571200001985,195.86690609995276,195.86690609995276,None,['space'],1,3.7293804604560137,None,None,1,,[0.35239099990576506],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,5,0,5,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.93979600002058,None,,,,308.4918320966619,5.210719116965301,0.00019224456119311417,1,"[0.6137502845167417, 0.5943581501901085, 0.60402725580989, 0.7897197949656002]","[265.00532326919705, 3608.666423209581, 478.68114284397774, 2255.8565208771734]",None,"[8.326813114499995, -1.4686279785677971, 9.088737075222543, 0.3938950762819644]",False,197.95099689997733,200.80166290001944,200.80166290001944,None,['space'],1,3.644627060042694,None,None,1,,[0.35590539989061654],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,6,0,6,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.98240899993107,None,1650620303.660441,1650620305.4957206,1.8352797031402588,4594.793419988137,-1.0,0.0001112864677867834,1,"[0.6167970173190311, 0.7013181493840112, 0.7733050044105235, 0.41087290765053275]","[1823.4449771164332, 2297.396709994069, 2894.538474880755, 3646.8899542328654]",Major_3rd,"[3.0, 0.3938950762819644, -0.1909083371422149, -1.4686279785677971]",False,204.8295603999868,207.94307209993713,207.94307209993713,None,['space'],1,3.551555160433054,None,None,1,,[0.40831829980015755],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.82279150001705,None,1650620310.500234,1650620311.7413063,1.241072416305542,125.0,-1.0,0.000644124775846567,0,"[0.48849877732129043, 0.7508347260432844, 0.4518656247282771, 0.6088529091920228]","[769.8798201481153, 192.29797081515014, 1411.1659100268007, 1561.3343904044068]",None,"[4.0, 8.2776971649791, 6.208779135391241, 5.809690816193903]",False,211.12145729991607,213.84939350001514,213.84939350001514,215.08510020002723,None,0,3.3400821802206337,4.370164080290124,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.49036359996535,None,,,,,,,,"[0.6285743289162394, 0.6757021473542597, 0.5148653721471959, 0.6871515421688843]","[147.20020689484554, 165.2266457427518, 185.46063921569632, 208.17252897481612]",Tone,"[4.0, 6.0, 8.0, 9.0]",True,216.5020204000175,219.3552838000469,219.3552838000469,220.59208939992823,None,1,3.55039725988172,4.582249759929255,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.09944569994695,None,,,,219.67694802470572,7.064419888354574,0.0005117276892123933,1,"[0.7450650088920766, 0.5370176182712842, 0.4504236471427503, 0.6116719043313623]","[4695.8087047765885, 5482.507460941909, 995.1888558630366, 1610.934185317992]",None,"[-1.825371943492379, -1.099175111788238, 3.314424444196705, 5.022211870740859]",False,222.10812889994122,224.86036529997364,224.86036529997364,None,['space'],1,3.382101760013029,None,None,1,,[0.34721149993129075],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.8737321998924,None,,,,4425.747013698303,-4.0,7.144587952771885e-05,1,"[0.7080776101134391, 0.7343197493321517, 0.5314783628391844, 0.5884951222776464]","[7025.435465289805, 6258.951450404365, 5576.091824067866, 4967.733058294888]",Tone,"[-1.4208264158412334, -1.0, -1.099175111788238, -1.6305854542215412]",False,226.8800770000089,229.900767599931,229.900767599931,None,['space'],1,3.5838371603749692,None,None,1,,[0.4932469001505524],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.9783511001151,None,1650620332.6565948,1650620334.32637,1.6697752475738525,2462.2888266898335,0.0,8.505946547995337e-05,1,"[0.790112828320167, 0.719464566032078, 0.6802423344780886, 0.5231778876807915]","[204.6899795019328, 162.03465129185216, 3462.9864708875707, 3333.439752949815]",None,"[9.0, 5.989536451728783, -1.0852869259872637, -0.7195967390694644]",False,233.66253129998222,236.87293389998376,236.87293389998376,None,['space'],1,3.7455947403796017,None,None,1,,[0.5125976998824626],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.95422059996054,None,,,,,,,,"[0.4166989209351657, 0.753799445558432, 0.7848450335503275, 0.6844978098324028]","[1861.2664529563203, 2089.2009552348727, 2345.048783542834, 2632.228260960893]",Tone,"[2.78162348863955, 1.0, 0.3938950762819644, -0.03000906409819315]",True,238.9598868000321,241.94568359991536,241.94568359991536,243.18063120008446,None,1,3.682059860089794,4.714708160143346,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.69180919998325,None,,,,866.7855992864469,0.6695217937040217,4.349278477489283e-05,1,"[0.6975323898872587, 0.6975323898872587, 0.6975323898872587, 0.6975323898872587]","[1375.9363721381924, 1225.8199501805843, 1092.081422286737, 972.9339392201326]",Tone,"[6.208779135391241, 5.652799643408654, 4.059225165054532, 3.0]",False,244.7012795000337,247.8175550000742,247.8175550000742,249.01929199998267,['space'],1,3.807477060239762,None,None,1,,[0.6082715000957251],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.14859799994156,None,1650620350.807781,1650620352.2519083,1.4441273212432861,125.0,-2.0,0.0005740768107484417,0,"[0.44940546520596575, 0.44940546520596575, 0.44940546520596575, 0.44940546520596575]","[629.9605249474366, 420.4482076268573, 280.6155120773433, 187.2883846095852]",Perfect_5th,"[7.0, 8.211586807684622, 8.0, 8.0]",False,251.58718489995226,253.95670130010694,253.95670130010694,255.15892509999685,None,0,2.8338986800517887,3.841011080192402,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.43890170007944,None,,,,152.44870991224312,2.4209904810587295,0.0006321126172981655,0,"[0.4754007176165384, 0.5973259257575663, 0.7371151444698795, 0.4233892712641088]","[139.89124734891843, 570.6526069051969, 572.305295597538, 5118.171837589095]",None,"[3.0, 8.264041947905532, 8.264041947905532, -1.3539693998841358]",False,256.44786319998093,259.2742916001007,259.2742916001007,260.4970670999028,None,0,3.2504795601125807,4.281406359979883,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.74350280012004,None,1650620362.4176073,1650620363.9742782,1.556670904159546,233.2582478842019,7.0,0.00044837777181730865,0,"[0.5479695632089997, 0.6327873497573897, 0.6755228775691628, 0.59668443917234]","[146.94348828545108, 164.9384888466118, 185.13719403582056, 207.80947403569698]",Tone,"[4.0, 5.989536451728783, 8.0, 9.0]",False,263.3114132999908,266.2053501000628,266.2053501000628,267.43965100008063,None,0,3.4928240603767335,4.525898960418999,['space'],0,[-5.370136399986222],,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.84994770004414,None,,,,150.5663361052833,2.0,0.0006233034119875609,0,"[0.5256724330037108, 0.7822307288012236, 0.40289029806908183, 0.44427712997366964]","[758.8067850583716, 506.4427691552747, 338.0099960623476, 225.594606925939]",Perfect_5th,"[4.0, 9.163747023797914, 7.234734021061623, 9.192667839365058]",False,268.8578808999155,271.609047899954,271.609047899954,272.8460770000238,None,0,3.178129260195419,4.214265060145408,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.08882139995694,None,1650620374.7651355,1650620376.5303109,1.7651753425598145,4594.793419988137,0.0,0.00012486547057085194,1,"[0.5568862766166803, 0.7006144676010784, 0.6605075403715046, 0.5337881498862932]","[1113.433899834992, 1740.825632183104, 3250.6011116856275, 206.0559749088559]",None,"[4.902815181024003, 3.9476880217548187, -0.7195967390694644, 9.0]",False,275.868292799918,278.81852980004624,278.81852980004624,None,['space'],1,3.471839900361374,None,None,1,,[0.3793273000046611],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,1,0,1,0,19,0,19,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.76484120008536,None,,,,174.89444226676056,5.0,0.0006346254210962013,1,"[0.6371344489857167, 0.6371344489857167, 0.6371344489857167, 0.6371344489857167]","[340.56855535856005, 6848.452065362257, 1613.4693809349124, 125.3433866491221]",None,"[7.234734021061623, -1.4208264158412334, 5.022211870740859, 0.702640164195774]",False,280.77097070007585,283.7221069999505,283.7221069999505,None,['space'],1,3.581059660296887,None,None,1,,[0.36585760000161827],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.090211099945,None,,,,,,,,"[0.600452936122176, 0.5773585311635958, 0.7326561763219961, 0.7693426392984792]","[234.35071518788322, 2135.6266024219312, 478.4738834767949, 261.18729287582175]",None,"[9.192667839365058, 1.0, 9.088737075222543, 8.326813114499995]",True,295.0857011999469,298.0433626000304,298.0433626000304,299.27384039992467,None,1,3.7116843601688743,4.7462535600643605,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.84882989991456,None,1650620401.5250242,1650620403.483472,1.9584479331970215,2462.2888266898335,-1.0,7.580932840616338e-05,1,"[0.559796061720604, 0.559796061720604, 0.559796061720604, 0.559796061720604]","[7866.713920761755, 173.96667761099576, 279.51580511700803, 672.4597590108125]",None,"[-2.619118340294624, 7.0, 8.0, 6.0]",False,302.8227981000673,305.54673080006614,305.54673080006614,None,['space'],1,3.280646540224552,None,None,1,,[0.3080070000141859],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.4558788998984,None,,,,3752.785404980025,-3.646902474118245,5.230835423369751e-05,1,"[0.5616283480030317, 0.5616283480030317, 0.5616283480030317, 0.5616283480030317]","[355.83344126427335, 3323.3249996363643, 962.1453660635142, 440.2606003692979]",None,"[7.337220816308567, -0.7195967390694644, 3.0, 8.715675910554989]",False,307.4676673999056,310.1874939999543,310.1874939999543,None,['space'],1,3.278011260321364,None,None,1,,[0.41991750011220574],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.1950469999574,None,1650620412.8680103,1650620414.21369,1.345679759979248,1515.7165665103996,-4.0,3.131458903779733e-05,0,"[0.7146010519425225, 0.40330288827651367, 0.5339921022997509, 0.7358875382248806]","[2406.050072164236, 2143.5469250725887, 1909.6832078208352, 1701.334321901713]",Tone,"[0.12274927998099194, 0.9321212336641782, 2.78162348863955, 4.0]",False,313.5536321999971,316.2231787999626,316.2231787999626,317.45732580008917,None,0,3.41680392017588,4.4436092202086,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0014861000236,None,,,,797.5378389132311,1.0476602298562074,4.3412857665578054e-05,0,"[0.7913867399036076, 0.7913867399036076, 0.7913867399036076, 0.7913867399036076]","[158.25155055941343, 237.1094181298771, 355.262719178107, 532.2926462950109]",Perfect_5th,"[5.0, 9.192667839365058, 7.337220816308567, 8.89347349739519]",False,318.99043969996274,322.398597399937,322.398597399937,323.6369284000248,None,0,4.180853160331026,5.183646660298109,['space'],0,[-4.410828299820423],,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.1873067000415,None,,,,439.3834821734491,6.447438525281175,0.00015659323523225458,0,"[0.4554109381573127, 0.7145544062372611, 0.46989636426535625, 0.6890858743646963]","[697.4778018195839, 621.3820795724089, 553.5884981664374, 493.19128339371457]",Tone,"[5.059888243962505, 7.334255130632958, 8.89347349739519, 9.163747023797914]",False,325.18993040011264,327.87296060007066,327.87296060007066,329.1087750000879,None,0,3.3477555599529296,4.352598059922457,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,2,0,2,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.5610360999126,None,1650620431.2377813,1650620434.3063972,3.0686159133911133,329.87697769322364,-2.0,7.52697013181096e-05,1,"[0.4524412046442322, 0.4524412046442322, 0.4524412046442322, 0.4524412046442322]","[195.29508794845663, 5081.205390944927, 1450.1999295596222, 3191.91396811085]",None,"[8.2776971649791, -1.6305854542215412, 6.0, -0.7195967390694644]",False,333.64776320010424,336.0217365999706,336.0217365999706,None,['space'],1,2.833427520468831,None,None,1,,[0.5084500000812113],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
