tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,feedback.rt,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,4,0,4,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.732131900033,None,790.2843767943268,11.0,0.00013770248879068652,0,"[0.6658925366934683, 0.6658925366934683, 0.6658925366934683, 0.6658925366934683]","[156.81228138466844, 234.95295093982622, 352.0316691262014, 527.4515411364979]",Perfect_5th,"[16.77529653324789, 19.0, 29.782625608166118, 23.0]",False,656.7264758999227,659.7688558999216,659.7688558999216,660.9772216000129,None,0,3.6711338199675083,4.692836219910532,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,4,0,4,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.4809670000104,None,,,,,"[0.7278751567447251, 0.7278751567447251, 0.7278751567447251, 0.7278751567447251]","[5493.490318539391, 6088.647482256561, 701.3667279085643, 447.3311486551798]",None,"[6.6894277273926255, 6.4872047839874, 19.338971386041575, 27.0]",True,662.4747470000293,665.6971995999338,665.6971995999338,666.8995326999575,None,1,3.9355275199050084,4.95887391990982,None,1,None,1,,0,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,4,0,4,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.4864439999219,None,8000.0,-2.0,0.00014420157515633036,0,"[0.4631478218093889, 0.4631478218093889, 0.4631478218093889, 0.4631478218093889]","[202.10782287832478, 1549.136891148035, 1749.0889210080609, 1131.4765682821626]",None,"[17.11642891230437, 16.0, 15.259401909493146, 13.830957238324812]",False,668.4971810999559,670.9239226999925,670.9239226999925,672.1238017999567,None,0,2.91166950983461,3.934468509745784,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,4,0,4,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.4697715999791,None,153.8930516681146,20.0,0.004654903623635121,1,"[0.6719996188713491, 0.6719996188713491, 0.6719996188713491, 0.6719996188713491]","[244.28999210856162, 217.63764082403114, 193.89309522921693, 172.7391099959721]",Tone,"[20.0, 17.765565160124222, 16.72540755029058, 16.533228341172187]",False,673.4840362999821,676.5401763999835,676.5401763999835,677.7462900999235,['space'],1,3.7269460099050775,4.75388520990964,None,1,None,1,,,[0.10020059999078512],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,4,0,4,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.2847684000153,None,3921.535932801147,2.0,0.00010394045051885769,1,"[0.4256151504784822, 0.6027817983868328, 0.5219048062614565, 0.454657280009247]","[1556.262566264909, 1960.7679664005739, 2470.4128348276463, 3112.5251325298177]",Major_3rd,"[16.0, 14.375882463379812, 13.736246230917883, 11.0]",False,679.2968076999532,681.8611659000162,681.8611659000162,683.0836675999453,['space'],1,3.042635319987312,4.0507102200062945,None,1,None,1,,,[0.22835999995004386],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,4,0,4,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.429606199963,None,,,,,"[0.7355264783484519, 0.770189669022286, 0.41605914543545985, 0.6829016544551442]","[1584.4629971789118, 2734.53588360279, 1690.9990866069904, 1200.6761305252858]",None,"[16.0, 13.0, 15.259401909493146, 14.68421633517286]",True,684.4218524999451,687.3788217999972,687.3788217999972,688.6206189999357,None,1,3.6380774199496955,4.649321119999513,None,1,None,1,,0,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,4,0,4,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.1312301999424,None,2639.015821545789,2.0,9.726024221079524e-05,0,"[0.5424752090504398, 0.70301424764628, 0.6511484589976556, 0.4802395565562309]","[1186.805867927385, 3356.1302310953165, 520.7485071101138, 577.9563691841317]",None,"[14.0, 9.977041029447504, 24.0, 21.8580067445056]",False,690.1406063999748,693.0867087999359,693.0867087999359,694.2955567999743,None,0,3.4118460098979995,4.4262276098597795,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,4,0,4,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.5999688999727,None,6170.526531075588,0.48720478398739975,0.00013105492442192502,1,"[0.46022876483537206, 0.46022876483537206, 0.46022876483537206, 0.46022876483537206]","[846.3701070555817, 1042.8555684616947, 179.87265246859928, 2824.0607082363854]",None,"[16.0, 13.279640519195809, 16.533228341172187, 12.284322015631432]",False,695.6070979000069,698.0348202999448,698.0348202999448,699.2405296999495,['space'],1,2.852608519955538,3.8640246199211106,None,1,None,1,,,[0.31520329997874796],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,4,0,4,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.5253038000083,None,125.0,20.0,0.00722719885372964,1,"[0.468293805578458, 0.468293805578458, 0.468293805578458, 0.468293805578458]","[200.22527802869567, 1619.4390761267603, 178.30793095978686, 2351.976760294519]",None,"[17.0, 15.78086081459099, 16.533228341172187, 14.0]",False,702.4404310999671,704.898187499959,704.898187499959,706.109845399973,['space'],1,2.89953863970004,3.9066537397447973,None,1,None,1,,,[0.4141986999893561],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,4,0,4,0,18,0,18,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.3976735000033,None,781.5353544639463,11.0,0.0001391139702697322,0,"[0.7625156898883575, 0.7625156898883575, 0.7625156898883575, 0.7625156898883575]","[1240.6100438264082, 1105.2578977569772, 984.6728443261771, 877.2437747977931]",Tone,"[14.68421633517286, 13.279640519195809, 13.28722819198618, 15.0]",False,707.4250712000066,710.7345386999659,710.7345386999659,711.9390378999524,None,0,4.085065119899809,5.101528219995089,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,4,0,4,0,19,0,19,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.5852268999442,None,138.43718311354,12.0,0.002400948979365359,1,"[0.7002516915689343, 0.7002516915689343, 0.7002516915689343, 0.7002516915689343]","[704.0078208826471, 536.4586437035053, 174.44876253294143, 2860.2811790461415]",None,"[19.338971386041575, 22.963512851527405, 16.533228341172187, 12.0]",False,713.6017064999323,716.741264399956,716.741264399956,717.9554753999691,['space'],1,3.832017419859767,4.850770319812,None,1,None,1,,,[0.12559480010531843],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.2478647999233,None,,,,,"[0.4706628926979877, 0.4706628926979877, 0.4706628926979877, 0.4706628926979877]","[5908.696643543866, 5264.050265613356, 4689.735633861251, 4178.07946462406]",Tone,"[6.4872047839874, 7.022136109135772, 7.487080647649432, 7.602375190643109]",True,721.2386044999585,723.669355400023,723.669355400023,724.8972646000329,['space'],0,2.914287819992751,3.9294606199255213,None,1,None,1,,0,[0.2870821999385953],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.2170597999357,None,4924.577653379667,3.0,0.00020842917620072566,1,"[0.4847835294393047, 0.4847835294393047, 0.4847835294393047, 0.4847835294393047]","[977.1599684342464, 1464.085695945626, 2193.6499593892527, 3286.7612583431624]",Perfect_5th,"[13.28722819198618, 16.01994791733071, 14.174236238575745, 9.977041029447504]",False,726.2293973999331,728.6996338999597,728.6996338999597,729.9225756999804,['space'],1,2.9863567099673674,3.9995371099794284,None,1,None,1,,,[0.19926629995461553],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.2568813000107,None,178.70952743925463,10.533228341172187,0.0011532734574548776,0,"[0.6805316487106925, 0.6805316487106925, 0.6805316487106925, 0.6805316487106925]","[900.6395817499294, 601.1048039814183, 401.1893244437317, 267.76174966752274]",Perfect_5th,"[15.0, 21.036801501734764, 29.40017881097733, 22.17487994231128]",False,731.2557059000246,734.3373415999813,734.3373415999813,735.5491390000097,None,0,3.7408557198941708,4.756658719968982,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.0658678000327,None,1312.906476437864,9.507063998267402,0.000158197040734872,1,"[0.4810646836071024, 0.749745327595446, 0.7696166490065355, 0.6522481959646844]","[788.4303327679348, 1766.7271974037671, 142.05396540554406, 1340.3035693747793]",None,"[17.0, 15.259401909493146, 17.29647638438854, 15.507063998267402]",False,737.0617893999442,740.0971115999855,740.0971115999855,741.3270643999567,['space'],1,3.680708019877784,4.707721519866027,None,1,None,1,,,[0.2692662999033928],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.8369244999485,None,1319.5079107728945,12.0,0.0002101351810032872,1,"[0.7758201771534373, 0.7758201771534373, 0.7758201771534373, 0.7758201771534373]","[3304.0717988272936, 159.16816227631446, 324.60706249497855, 177.10398346355365]",None,"[9.977041029447504, 16.77529653324789, 28.0, 16.533228341172187]",False,742.8450534000294,746.1992309999187,746.1992309999187,747.4191508999793,['space'],1,4.14737430983223,5.154979809885845,None,1,None,1,,,[0.24726360000204295],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.0345459999517,None,659.7539553864473,5.0,8.634514805083658e-05,0,"[0.5313788582551588, 0.794963551637137, 0.5867912361824651, 0.5364154066532704]","[1662.4757922855763, 1319.5079107728948, 1047.294122820627, 831.237896142788]",Major_3rd,"[15.78086081459099, 15.507063998267402, 13.279640519195809, 16.0]",False,749.0497740999563,752.0019172999309,752.0019172999309,753.2238912000321,None,0,3.4741725098574534,4.4799017099430785,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.5742011999246,None,,,,,"[0.5199256388266459, 0.5199256388266459, 0.5199256388266459, 0.5199256388266459]","[3909.427682088269, 782.8336078228928, 1491.0858493864157, 1796.6669955772156]",None,"[8.0, 17.0, 16.09599889204023, 15.0]",True,754.5909647999797,757.1941583999433,757.1941583999433,758.4059657999314,['space'],0,3.103886619908735,4.130111219943501,None,1,None,1,,0,[0.07350980001501739],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.7727179999929,None,435.2752816480623,18.0,0.0005937756127592179,0,"[0.6665818022033831, 0.7270661080082508, 0.5990250535929283, 0.7539511552175744]","[1865.341180478184, 661.1806313157625, 4716.954033050707, 6469.802301516917]",None,"[14.740833633636964, 20.274920557427446, 7.487080647649432, 6.624589840340092]",False,759.8014393999474,762.8371267999755,762.8371267999755,764.061356500024,None,0,3.774994309991598,4.796929909964092,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.6334625999443,None,1047.5930269681799,7.279640519195809,0.00010645027799159986,1,"[0.5938043923183294, 0.7880126148727464, 0.4181920016243819, 0.6410421998181187]","[5279.53802560119, 3523.668884089322, 2351.766829690639, 1569.6160459930882]",Perfect_5th,"[7.022136109135772, 8.94859108714806, 14.0, 16.0]",False,765.6248323000036,768.4508032000158,768.4508032000158,769.6757078999653,['space'],1,3.4746430199593306,4.487573919934221,None,1,None,1,,,[0.26946189999580383],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.1723721999442,None,2502.1988851433116,7.736246230917883,0.00020897333577914808,1,"[0.7524209397412851, 0.7524209397412851, 0.7524209397412851, 0.7524209397412851]","[209.15330174748505, 1005.6285922463219, 4146.366491175678, 1038.359862358033]",None,"[17.11642891230437, 13.28722819198618, 7.602375190643109, 13.279640519195809]",False,771.1659191999352,774.4566664999584,774.4566664999584,775.6794029999292,['space'],1,4.021351319854148,5.040259519824758,None,1,None,1,,,[0.22905229998286813],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.2684513999848,None,,,,,"[0.7194252887770787, 0.4419005697921212, 0.6272503761051892, 0.7656144286555295]","[5828.980691163319, 4626.465040527487, 3672.027736113716, 2914.4903455816593]",Major_3rd,"[6.6894277273926255, 7.487080647649432, 8.213167330708274, 12.0]",True,777.2839190999512,780.0907897999277,780.0907897999277,781.2974423000123,None,1,3.5639475198695436,4.59754551993683,None,1,None,1,,0,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.9309282000177,None,1866.0659830736151,6.0,0.0001372027087973376,1,"[0.48448147640854017, 0.48448147640854017, 0.48448147640854017, 0.48448147640854017]","[2405.318399192097, 3232.35543921544, 469.48280718937275, 462.12047781354096]",None,"[13.736246230917883, 10.0, 26.0, 26.22569265138384]",False,782.9589435999515,785.44185069995,785.44185069995,786.6603120999644,['space'],1,2.965448610018939,3.9733854100340977,None,1,None,1,,,[0.3222928000614047],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786.9750977000222,None,1148.6983549970344,11.0,0.0001783720288938129,1,"[0.5504941639750685, 0.5504941639750685, 0.5504941639750685, 0.5504941639750685]","[227.93062213955412, 341.51006418859873, 511.6869459983872, 766.6641723347999]",Perfect_5th,"[18.78141104740799, 29.0, 24.0, 18.0]",False,787.9871534999693,790.669734199997,790.669734199997,791.8916277999524,['space'],1,3.2250264099566266,4.228988509974442,None,1,None,1,,,[0.40154860005714],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.2574591999874,None,4721.57134453642,1.4870806476494316,0.00015853429162833292,0,"[0.6390372413116712, 0.6390372413116712, 0.6390372413116712, 0.6390372413116712]","[7495.02731926002, 6677.310231155575, 5948.807125561874, 5299.78464262719]",Tone,"[8.523674680694327, 7.0, 6.4872047839874, 7.0]",False,793.2489202999277,796.1849268999649,796.1849268999649,797.4019649999682,None,0,3.5867686198325828,4.61360621987842,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.9221426999429,None,,,,,"[0.44230787749917577, 0.7576760484712295, 0.7172148977761659, 0.5716414128625913]","[3018.7989904953806, 632.2780421591975, 6694.41461525056, 7831.924794183806]",None,"[11.157465300610848, 21.0, 7.0, 10.0]",True,798.9364248999627,801.8888350999914,801.8888350999914,803.1145406999858,None,1,3.512317919987254,4.527424919884652,None,1,None,1,,0,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803.5142431999557,None,7871.214500727941,4.0,0.00028153287017289584,1,"[0.5972947195568232, 0.5972947195568232, 0.5972947195568232, 0.5972947195568232]","[266.2974647448932, 735.9760687093734, 135.72833205920566, 2029.9940181548295]",None,"[22.0, 19.0, 18.0, 14.375882463379812]",False,804.5303330000024,807.3469441999914,807.3469441999914,808.5691963999998,['space'],1,3.409283119835891,4.422329419758171,None,1,None,1,,,[0.243795600021258],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0111120999791,None,1898.5356628627278,8.740833633636964,0.00019211732570375496,0,"[0.5091101141367879, 0.7498105771355875, 0.48817367380859106, 0.6633621709209474]","[5906.832736027917, 527.4549916614651, 4749.754218329994, 1277.2076834093193]",None,"[6.4872047839874, 23.0, 7.487080647649432, 15.0]",False,810.0039807999274,812.7705144999782,812.7705144999782,813.975056599942,None,0,3.4388818198349327,4.465427019749768,None,1,['space'],0,[0.5080910000251606],,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.530278799939,None,189.4645708137998,15.0,0.0017084605332667944,0,"[0.6765831021886657, 0.4986198572575104, 0.6025776811679754, 0.7863057766475738]","[300.7562590205293, 267.9433656340734, 238.71040097760422, 212.666790237714]",Tone,"[26.0, 22.17487994231128, 19.0, 17.765565160124222]",False,815.5557573999977,818.3596831000177,818.3596831000177,819.5936107999878,None,0,3.6041553099639714,4.6093600098975,None,1,['space'],0,[0.5835643999744207],,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,5,0,5,0,18,0,18,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.2037010999629,None,4287.0938501451765,3.0,0.0001464715815072985,1,"[0.5985636914412369, 0.5985636914412369, 0.5985636914412369, 0.5985636914412369]","[2046.257968801773, 760.6627243560534, 1791.6345318420515, 4774.339789311565]",None,"[14.375882463379812, 18.0, 15.0, 7.31058309055847]",False,821.3005341999233,824.1309249999467,824.1309249999467,825.3657618999714,['space'],1,3.412073989980854,4.441774589940906,None,1,None,1,,,[0.22643779998179525],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
