tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_both,Audiogram_time,Audiogram_frequency,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.75346889998764,None,615.5722066724584,-1.0,4.760651710325358e-05,1,"[0.7399503534650834, 0.588102575825906, 0.679757411948699, 0.44934183585616394]","[1533.0120413118466, 731.9503625240537, 3990.7473450088874, 1462.2080275308463]",None,"[7.231821992746438, 5.0, 0.7084603997272367, 7.0]",False,233.76211989996955,236.77904679998755,236.77904679998755,237.99773579998873,['space'],1,[0.2905563999665901],3.476248110178858,4.501125310198404,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.30159419996198,None,5418.4960352592825,-5.441368198421026,7.339132062743617e-05,1,"[0.5285874138432937, 0.688376473029265, 0.6007471708755336, 0.7769508558209972]","[3413.438606797541, 3831.4552903642607, 4300.663153228052, 4827.331172061005]",Tone,"[2.0, 1.0, 0.5848890422849387, 0.6040513895135975]",False,239.29908360005356,242.13184469996486,242.13184469996486,243.33610189997125,['space'],1,[0.4541484999936074],3.646951710106805,4.669358710059896,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.46152160002384,None,189.4645708137998,-1.0,0.00027077274687630263,1,"[0.4621191783878033, 0.7893346119962136, 0.424375367638008, 0.7013300047130713]","[300.7562590205293, 267.9433656340734, 238.71040097760422, 212.666790237714]",Tone,"[13.419576214029288, 12.726245547506124, 11.14028009925592, 10.0]",False,250.4674591999501,253.17107919999398,253.17107919999398,254.37968300003558,['space'],1,[0.3403118000132963],3.3924640101613477,4.418419310124591,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.9208730000537,None,,,,,"[0.7328910510473428, 0.6912731592433221, 0.6976741301755229, 0.6393129669302358]","[834.1849455193324, 141.77920954339064, 7809.998313613667, 174.4592812198351]",None,"[4.0, 9.18495440881352, -1.0, 8.432311991088431]",True,255.92525650002062,259.08204620005563,259.08204620005563,260.30164710001554,['space'],0,[0.25960220000706613],3.8041859100339934,4.834591510123573,None,1,None,1,0,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.7838993000332,None,2948.7536987711064,-2.0,4.6077797095725693e-05,0,"[0.547392497327166, 0.7108953100988675, 0.7281130022850532, 0.6982296709709555]","[7430.393712074166, 5897.507397542213, 4680.854723424373, 3715.196856037083]",Major_3rd,"[-0.9591972274050864, 0.09795996840317045, 0.5833937802563938, 1.0456257657653172]",False,261.78407000005245,264.8086204000283,264.8086204000283,266.02498920005746,None,0,,3.7157030100934207,4.71792131010443,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.53078879998066,None,659.7539553864473,-4.0,3.0636414623792164e-05,1,"[0.7535343417918221, 0.6813639588800415, 0.5779906385920708, 0.7861986037421157]","[415.6189480713939, 466.51649576840373, 523.6470614103134, 587.7739531418044]",Tone,"[12.389760054493381, 11.397291563039362, 10.025029693258762, 9.0]",False,268.2493846999714,271.28562700003386,271.28562700003386,272.4969074999681,['space'],1,[0.3132084000390023],3.85510905017145,4.862598250154406,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.1401560000377,None,406.12619817811805,-1.0,6.795016959419142e-05,0,"[0.5913567487991935, 0.5913567487991935, 0.5913567487991935, 0.5913567487991935]","[5747.181455311425, 311.90002827981505, 460.593453551491, 532.1486909592796]",None,"[0.3932899010127491, 13.419576214029288, 11.397291563039362, 10.025029693258762]",False,274.15307839994784,276.937722499948,276.937722499948,278.16842760005966,None,0,,3.3795616100542247,4.400039910105988,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.5895069000544,None,247.06689479808549,6.0,0.0003456377546860713,1,"[0.41085113287958713, 0.41085113287958713, 0.41085113287958713, 0.41085113287958713]","[4740.377123279193, 2358.3546063811623, 933.2746152504302, 5972.773990587454]",None,"[0.5833937802563938, 7.0, 3.7391670222236364, 0.09795996840317045]",False,279.5883136000484,281.8628186000278,281.8628186000278,283.0582994000288,['space'],1,[0.21806529990863055],2.6976400101557374,3.7044000101741403,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.32352860004175,None,426.88185940493884,6.0,0.00015000541184543255,1,"[0.7133268485509088, 0.7133268485509088, 0.7133268485509088, 0.7133268485509088]","[677.632712685541, 603.7021151015093, 537.8374404825462, 479.15868629378144]",Tone,"[6.939487120190779, 8.068625138030386, 10.0, 11.0]",False,284.3228110000491,287.48781409999356,287.48781409999356,288.7122883000411,['space'],1,[0.14384789997711778],3.8901699101552367,4.902600710163824,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.26254240004346,None,,,,,"[0.5496823266033354, 0.5580766078964132, 0.5585267689963436, 0.45860806416226774]","[3387.0372294723684, 205.03979752615354, 6171.432141770015, 846.4391099428086]",None,"[2.0, 9.388390660889556, 0.0, 4.0]",True,290.26393570005894,292.951981900027,292.951981900027,294.1856268000556,['space'],0,[0.4556533000431955],3.158503610175103,4.158812810201198,None,1,None,1,0,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.445625100052,None,4594.793419988137,-2.0,9.918416881656158e-05,1,"[0.52252919652962, 0.52252919652962, 0.52252919652962, 0.52252919652962]","[838.9718012721447, 568.670843368702, 200.0413683923021, 775.9614264246651]",None,"[4.0, 9.118681732301107, 9.388390660889556, 4.88041726909917]",False,295.4764338999521,298.059361099964,298.059361099964,299.2918078999501,['space'],1,[0.19478049990721047],3.1166881101671606,4.143393110134639,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.6661763000302,None,3558.8068242964423,-4.377122158414253,4.6033387257099995e-05,1,"[0.7301569663227461, 0.6377750405797393, 0.7681606976367366, 0.48981278999113137]","[3527.5162982163665, 858.6243192657888, 164.88923375726654, 2141.9088106573467]",None,"[1.6228778415857468, 3.787618534096997, 8.421597713268383, 7.6661718151528495]",False,300.67663959995843,303.852818400017,303.852818400017,305.0641732000513,['space'],1,[0.3169345000060275],3.668077610200271,4.672352210152894,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.3773514999775,None,216.57485741526276,4.22167760361431,0.0003787754985080373,1,"[0.4755840846989536, 0.5443711907775508, 0.4810317431926091, 0.4558805541853257]","[136.43361086773515, 153.14155031284193, 171.89557824542544, 192.94626285268433]",Tone,"[9.749448326053159, 8.696188121303779, 8.432311991088431, 9.0]",False,306.38384370005224,308.9092329000123,308.9092329000123,310.11391399998683,['space'],1,[0.11348439997527748],2.992520210100338,4.006680310121737,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.42527380003594,None,,,,,"[0.6589291659269505, 0.6589291659269505, 0.6589291659269505, 0.6589291659269505]","[153.6634153182458, 2187.747650207803, 1816.5993457490056, 3597.160198795143]",None,"[8.696188121303779, 7.6661718151528495, 7.92538900570556, 1.6228778415857468]",True,311.41982009995263,314.4187189999502,314.4187189999502,315.6464419000549,None,1,,3.6659012101590633,4.685968810110353,None,1,None,1,0,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.1266375000123,None,1319.5079107728945,-4.0,3.3304181786869376e-05,0,"[0.6564028076817068, 0.7491332242903215, 0.4180893710139806, 0.6127440241326342]","[6649.903169142303, 4438.277888271381, 2962.1951045731294, 1977.0280407057928]",Perfect_5th,"[-0.2872264221292191, 0.5848890422849387, 4.0, 7.894218693015047]",False,317.13241309998557,319.9824738999596,319.9824738999596,321.2170307999477,None,0,,3.477841010200791,4.507851510192268,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.67859010002576,None,253.15441928190376,6.012059773774314,0.0003279591844501964,1,"[0.5818869736080553, 0.5818869736080553, 0.5818869736080553, 0.5818869736080553]","[436.03555442048514, 3378.16796645952, 538.5419095264563, 1315.5718596661757]",None,"[11.917160756346224, 2.0, 10.0, 6.286726888702948]",False,322.6705457000062,325.4227856999496,325.4227856999496,326.634811899974,['space'],1,[0.28303869999945164],3.354808210162446,4.362756210146472,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0692992999684,None,353.5533905932738,-3.0,6.273272561452762e-05,0,"[0.499193446712315, 0.499193446712315, 0.499193446712315, 0.499193446712315]","[140.30775603867167, 176.77669529663694, 222.72467953508487, 280.6155120773433]",Major_3rd,"[9.18495440881352, 8.432311991088431, 10.22167760361431, 13.0]",False,328.1539702999871,330.67444329999853,330.67444329999853,331.9035207000561,None,0,,3.024941490031779,4.0354598900303245,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.2350197000196,None,615.5722066724584,-1.0,4.760651710325358e-05,0,"[0.6877782085598101, 0.6877782085598101, 0.6877782085598101, 0.6877782085598101]","[699.7303862035297, 7202.12531252229, 778.2578930153692, 3308.7325730761613]",None,"[6.0, -0.6665017941203928, 4.88041726909917, 2.449711566732529]",False,333.24690729996655,336.3456767000025,336.3456767000025,337.56389440002386,None,0,,3.781106309965253,4.784046810003929,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.077779400046,None,,,,,"[0.7111709072367751, 0.7417990262219623, 0.41248636993312093, 0.5588649134828418]","[3260.8062041590174, 3660.131211060242, 4108.358376247746, 4611.476358192014]",Tone,"[2.449711566732529, 1.0456257657653172, 0.7084603997272367, 0.5833937802563938]",True,339.0823395999614,341.9894828000106,341.9894828000106,343.20235979999416,None,1,,3.4656882100971416,4.493334310129285,None,1,None,1,0,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.59727060003206,None,307.64349237739486,7.419576214029289,0.00025002324207674275,1,"[0.7406027432858093, 0.4921921034957524, 0.5217423908550302, 0.43765619806671296]","[193.80325595472638, 217.53679964796785, 244.17680171552368, 274.07919300323834]",Tone,"[9.0, 10.22167760361431, 12.0, 13.0]",False,344.59524379996583,347.36326460004784,347.36326460004784,348.5866998999845,['space'],1,[0.23023240000475198],3.2266015100758523,4.243554610060528,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.8702976000495,None,1515.7165665103996,-3.0,3.5135546789290564e-05,0,"[0.5330033249051818, 0.5008214112605731, 0.6330172233560443, 0.5529617097741275]","[572.4948991208461, 5280.52714969013, 203.09013643679398, 381.5334734831353]",None,"[9.118681732301107, 0.558631801578974, 9.388390660889556, 12.805918243019232]",False,349.87461080006324,352.5808733999729,352.5808733999729,353.7956274000462,None,0,,3.238097010063939,4.247624010080472,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,1,0,1,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.16322830005083,None,307.7861033362292,-5.0,5.975641567313955e-05,0,"[0.6480470542332654, 0.6767948262036625, 0.7433854724634047, 0.5934517722229908]","[193.89309522921687, 217.63764082403108, 244.28999210856156, 274.2062449236566]",Tone,"[9.0, 10.22167760361431, 12.0, 13.0]",False,355.1701506000245,358.2549296000507,358.2549296000507,359.48493040003814,None,0,,3.673003109986894,4.693392910063267,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,2,0,2,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.4938004000578,None,5690.210906797954,-5.606710098987251,6.675305033404297e-05,1,"[0.7939056756411411, 0.7939056756411411, 0.7939056756411411, 0.7939056756411411]","[6635.338656006624, 1088.3528687578175, 2070.1209879738894, 3420.0692537686105]",None,"[-0.2872264221292191, 4.465980350534826, 7.894218693015047, 2.0]",False,364.4521254999563,367.86118540004827,367.86118540004827,369.07807229994796,['space'],1,[0.4954974999418482],4.224699210142717,5.231186810065992,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,2,0,2,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.71568909997586,None,1067.3468270432702,-1.5340196494651737,3.928150443642889e-05,1,"[0.6466172265205449, 0.6466172265205449, 0.6466172265205449, 0.6466172265205449]","[211.78843450792587, 317.3241102238589, 475.4489600120039, 712.3685414796438]",Perfect_5th,"[10.0, 13.419576214029288, 11.397291563039362, 5.837203533562845]",False,370.71941380004864,373.6986437999876,373.6986437999876,374.9031041000271,['space'],1,[0.23900549998506904],3.621746210148558,4.648687010048889,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,2,0,2,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.4033721999731,None,615.5722066724584,-2.0,4.2429353029554974e-05,1,"[0.6389792427648955, 0.6389792427648955, 0.6389792427648955, 0.6389792427648955]","[1551.1447618337352, 1231.1444133449168, 977.1599684342464, 775.5723809168676]",Major_3rd,"[7.231821992746438, 5.688239098579929, 3.994627832510215, 4.88041726909917]",False,377.3108848000411,380.2738941999851,380.2738941999851,381.5085857999511,['space'],1,[0.4341924999607727],3.5741052901139483,4.5858155901078135,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,2,0,2,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.934261300019,None,1624.5047927124701,-3.0,4.095962509705186e-05,1,"[0.7083136318712386, 0.7083136318712386, 0.7083136318712386, 0.7083136318712386]","[401.15458249761093, 2090.0486785237063, 134.2002113317476, 1849.619248215711]",None,"[12.389760054493381, 7.6661718151528495, 9.749448326053159, 7.92538900570556]",False,382.9607488999609,386.1122165999841,386.1122165999841,387.34673270001076,['space'],1,[0.365850199945271],3.8451230101054534,4.861338310060091,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,2,0,2,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.8642337999772,None,,,,,"[0.7174863814322826, 0.6062384946365778, 0.4687795437774513, 0.7707024275212931]","[6287.1744645183135, 168.5708714028217, 3614.5918212494794, 227.82199979225956]",None,"[0.0, 8.421597713268383, 1.0456257657653172, 11.0]",True,388.86637699999847,391.684936100035,391.684936100035,392.8983453999972,None,1,,3.5987091100541875,4.604987410129979,None,1,None,1,0,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,2,0,2,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.4997017000569,None,426.5010938369105,6.0,0.00015004423143686753,1,"[0.5166311711139728, 0.4410024915059625, 0.4602589477416328, 0.4621208967430977]","[169.2570712555749, 213.25054691845529, 268.6788529641561, 338.51414251114977]",Major_3rd,"[8.421597713268383, 10.0, 12.726245547506124, 13.386035984172485]",False,394.48453040001914,396.9238933000015,396.9238933000015,398.15698179998435,['space'],1,[0.3470633999677375],2.918202410102822,3.9528534101555124,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,2,0,2,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.4693734999746,None,2567.453922038755,0.0,8.1703628992158e-05,1,"[0.7999257475703204, 0.7999257475703204, 0.7999257475703204, 0.7999257475703204]","[1857.6112564216348, 2986.1077997711477, 7868.3852344886955, 199.62473706243193]",None,"[7.92538900570556, 3.4549613754624513, -1.0759512345292777, 9.388390660889556]",False,399.4876637000125,402.9284418000607,402.9284418000607,404.15047350001987,['space'],1,[0.1674454000312835],4.255238110083155,5.26608571014367,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,2,0,2,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.78325059998315,None,1296.5448176851737,0.0,5.3353669338439054e-05,1,"[0.4179619496500025, 0.4179619496500025, 0.4179619496500025, 0.4179619496500025]","[2058.136607517363, 1833.591265394925, 1633.5441079336613, 1455.3223517838028]",Tone,"[7.894218693015047, 7.92538900570556, 7.563702587200398, 7.0]",False,405.79448369995225,408.0668168000411,408.0668168000411,409.2715973999584,['space'],1,[0.05255729996133596],2.7172743101837113,3.73834721010644,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
